MHA MHH tb WR CS MU NLL
800.000 450.000 1.000 0.025 0.600000 0.018032 4501.550000
800.000 500.000 1.000 0.025 0.574000 0.020992 3780.640000
750.000 650.000 1.000 0.025 0.036690 0.652309 8.896960
800.000 400.000 1.000 0.025 0.418900 0.022793 2649.860000
800.000 650.000 1.000 0.025 0.109300 0.163837 123.689000
800.000 700.000 1.000 0.025 0.030210 0.781994 6.231450
800.000 550.000 1.000 0.025 0.431500 0.032322 2045.160000
800.000 600.000 1.000 0.025 0.255500 0.061092 716.726000
750.000 600.000 1.000 0.025 0.141800 0.127682 196.429000
750.000 550.000 1.000 0.025 0.323300 0.048344 1073.330000
750.000 500.000 1.000 0.025 0.508600 0.027370 2661.510000
750.000 450.000 1.000 0.025 0.588300 0.020802 3825.470000
750.000 400.000 1.000 0.025 0.439400 0.024822 2538.150000
700.000 600.000 1.000 0.025 0.043980 0.526211 13.536300
700.000 550.000 1.000 0.025 0.180200 0.102207 295.242000
700.000 500.000 1.000 0.025 0.388700 0.041744 1382.810000
700.000 450.000 1.000 0.025 0.532600 0.026669 2743.960000
700.000 400.000 1.000 0.025 0.439400 0.029331 2077.970000
650.000 550.000 1.000 0.025 0.051680 0.461285 17.484900
650.000 500.000 1.000 0.025 0.218700 0.087399 390.005000
600.000 400.000 1.000 0.025 0.325500 0.052731 869.185000
550.000 450.000 1.000 0.025 0.059200 0.419262 20.936400
550.000 400.000 1.000 0.025 0.189800 0.103893 273.659000
500.000 400.000 1.000 0.025 0.047110 0.540012 12.750400
650.000 450.000 1.000 0.025 0.416300 0.039547 1488.630000
650.000 400.000 1.000 0.025 0.406900 0.036236 1552.130000
600.000 500.000 1.000 0.025 0.058000 0.416553 21.279800
600.000 450.000 1.000 0.025 0.237600 0.080158 452.070000
