MHA MHH tb WR CS MU NLL
750.000 650.000 1.000 0.100 0.005428 4.673500 0.178808
800.000 400.000 1.000 0.100 0.024080 0.496899 14.798700
800.000 450.000 1.000 0.100 0.030990 0.422962 20.397200
800.000 500.000 1.000 0.100 0.028730 0.498638 14.961900
800.000 550.000 1.000 0.100 0.021760 0.741444 6.915500
800.000 600.000 1.000 0.100 0.014050 1.314750 2.235290
800.000 650.000 1.000 0.100 0.008066 2.583000 0.584272
800.000 700.000 1.000 0.100 0.004628 5.354690 0.136434
550.000 400.000 1.000 0.100 0.010720 2.354200 0.704236
500.000 400.000 1.000 0.100 0.006386 4.281310 0.213268
600.000 400.000 1.000 0.100 0.016210 1.280930 2.357450
550.000 450.000 1.000 0.100 0.007576 3.602090 0.300553
600.000 500.000 1.000 0.100 0.007628 3.479850 0.321742
600.000 450.000 1.000 0.100 0.013460 1.772410 1.235740
650.000 450.000 1.000 0.100 0.020450 0.971844 4.062520
650.000 400.000 1.000 0.100 0.020550 0.880398 4.930910
650.000 550.000 1.000 0.100 0.007081 3.654910 0.291705
650.000 500.000 1.000 0.100 0.013160 1.695000 1.349650
750.000 600.000 1.000 0.100 0.009791 2.193770 0.808126
750.000 550.000 1.000 0.100 0.017080 1.081650 3.288570
700.000 450.000 1.000 0.100 0.025960 0.669476 8.440540
700.000 400.000 1.000 0.100 0.023130 0.666393 8.480280
700.000 550.000 1.000 0.100 0.011630 1.855450 1.127630
700.000 500.000 1.000 0.100 0.019720 0.977367 4.017490
750.000 400.000 1.000 0.100 0.024170 0.587551 10.791500
700.000 600.000 1.000 0.100 0.006273 4.076040 0.234790
750.000 500.000 1.000 0.100 0.025140 0.653095 8.867060
750.000 450.000 1.000 0.100 0.029440 0.507015 14.474000
