MHA MHH tb WR CS MU NLL
650.000 550.000 1.000 0.005 0.558200 0.027782 2270.630000
650.000 500.000 1.000 0.005 5.617000 0.002850 74111.800000
600.000 500.000 1.000 0.005 0.673000 0.023777 2903.100000
600.000 450.000 1.000 0.005 6.270000 0.002705 79582.400000
650.000 450.000 1.000 0.005 11.320000 0.001301 203609.000000
650.000 400.000 1.000 0.005 10.930000 0.001209 185888.000000
550.000 400.000 1.000 0.005 5.104000 0.003407 53209.800000
500.000 400.000 1.000 0.005 0.602800 0.026539 2162.240000
600.000 400.000 1.000 0.005 8.886000 0.001759 123867.000000
550.000 450.000 1.000 0.005 0.734600 0.021458 3310.320000
800.000 550.000 1.000 0.005 11.570000 0.001011 257243.000000
800.000 600.000 1.000 0.005 6.713000 0.001965 113668.000000
800.000 650.000 1.000 0.005 2.563000 0.005444 27188.800000
800.000 700.000 1.000 0.005 0.271800 0.057529 701.967000
750.000 650.000 1.000 0.005 0.347700 0.046810 1001.950000
800.000 400.000 1.000 0.005 10.730000 0.000782 231569.000000
800.000 450.000 1.000 0.005 15.850000 0.000591 409517.000000
800.000 500.000 1.000 0.005 15.360000 0.000675 397748.000000
750.000 600.000 1.000 0.005 3.430000 0.004177 41037.600000
750.000 550.000 1.000 0.005 8.601000 0.001621 153637.000000
750.000 400.000 1.000 0.005 11.430000 0.000843 240214.000000
700.000 600.000 1.000 0.005 0.443700 0.034535 1615.010000
750.000 500.000 1.000 0.005 13.710000 0.000889 311762.000000
750.000 450.000 1.000 0.005 15.740000 0.000668 395766.000000
700.000 450.000 1.000 0.005 14.400000 0.000858 316412.000000
700.000 400.000 1.000 0.005 11.610000 0.000965 230288.000000
700.000 550.000 1.000 0.005 4.495000 0.003345 57203.600000
700.000 500.000 1.000 0.005 10.460000 0.001347 199231.000000
