MHA MHH tb WRA WRH CS MU NLL
800.000 650.000 1.000 0.010 0.100 0.076340 0.282932 45.015300
800.000 700.000 1.000 0.010 0.100 0.035740 0.747326 6.823890
800.000 550.000 1.000 0.010 0.100 0.240500 0.061665 704.900000
800.000 600.000 1.000 0.010 0.100 0.149800 0.119251 224.238000
800.000 450.000 1.000 0.010 0.100 0.339500 0.034229 1687.650000
800.000 500.000 1.000 0.010 0.100 0.318600 0.041050 1352.720000
750.000 650.000 1.000 0.010 0.100 0.041880 0.640873 9.234150
800.000 400.000 1.000 0.010 0.100 0.259200 0.041027 1153.600000
650.000 550.000 1.000 0.010 0.100 0.054250 0.519543 13.944700
650.000 500.000 1.000 0.010 0.100 0.130500 0.165325 123.960000
650.000 450.000 1.000 0.010 0.100 0.225600 0.082745 427.149000
650.000 400.000 1.000 0.010 0.100 0.230700 0.071728 519.774000
600.000 500.000 1.000 0.010 0.100 0.057840 0.499302 15.057100
600.000 450.000 1.000 0.010 0.100 0.134800 0.163227 125.737000
600.000 400.000 1.000 0.010 0.100 0.179500 0.107647 257.137000
550.000 450.000 1.000 0.010 0.100 0.057140 0.514179 14.188800
550.000 400.000 1.000 0.010 0.100 0.107400 0.228542 65.961200
500.000 400.000 1.000 0.010 0.100 0.050420 0.551609 12.330900
750.000 600.000 1.000 0.010 0.100 0.094130 0.220005 72.600700
750.000 550.000 1.000 0.010 0.100 0.184300 0.097279 325.872000
750.000 500.000 1.000 0.010 0.100 0.280000 0.055241 857.175000
750.000 450.000 1.000 0.010 0.100 0.327600 0.040791 1344.920000
750.000 400.000 1.000 0.010 0.100 0.265000 0.046169 1012.590000
700.000 600.000 1.000 0.010 0.100 0.048390 0.576290 11.380600
700.000 550.000 1.000 0.010 0.100 0.113500 0.190365 95.463400
700.000 500.000 1.000 0.010 0.100 0.215500 0.082905 431.982000
700.000 450.000 1.000 0.010 0.100 0.291400 0.053974 877.849000
700.000 400.000 1.000 0.010 0.100 0.257800 0.055836 770.010000
