MHA MHH tb WRA WRH CS MU NLL
650.000 550.000 1.000 0.100 0.010 0.049130 0.480854 16.228100
650.000 500.000 1.000 0.100 0.010 0.138600 0.152035 146.935000
600.000 400.000 1.000 0.100 0.010 0.189700 0.104847 277.672000
550.000 450.000 1.000 0.100 0.010 0.057170 0.431149 20.030800
550.000 400.000 1.000 0.100 0.010 0.117600 0.194920 89.933000
500.000 400.000 1.000 0.100 0.010 0.043710 0.571606 11.505300
650.000 450.000 1.000 0.100 0.010 0.244300 0.080730 459.186000
650.000 400.000 1.000 0.100 0.010 0.235200 0.071781 530.136000
600.000 500.000 1.000 0.100 0.010 0.055730 0.424946 20.649600
600.000 450.000 1.000 0.100 0.010 0.149300 0.141918 165.793000
700.000 550.000 1.000 0.100 0.010 0.115700 0.180103 106.558000
700.000 500.000 1.000 0.100 0.010 0.229000 0.080143 467.284000
700.000 450.000 1.000 0.100 0.010 0.310600 0.054638 888.388000
700.000 400.000 1.000 0.100 0.010 0.255800 0.058933 716.205000
750.000 500.000 1.000 0.100 0.010 0.296700 0.054874 892.189000
750.000 450.000 1.000 0.100 0.010 0.345500 0.041729 1344.540000
750.000 400.000 1.000 0.100 0.010 0.258500 0.049938 904.083000
700.000 600.000 1.000 0.100 0.010 0.041690 0.559315 12.060200
750.000 600.000 1.000 0.100 0.010 0.092300 0.220455 72.588300
750.000 550.000 1.000 0.100 0.010 0.191300 0.096592 334.351000
800.000 450.000 1.000 0.100 0.010 0.356600 0.035389 1671.090000
800.000 500.000 1.000 0.100 0.010 0.337500 0.042744 1308.460000
750.000 650.000 1.000 0.100 0.010 0.034660 0.663921 8.606050
800.000 400.000 1.000 0.100 0.010 0.249700 0.048145 911.778000
800.000 650.000 1.000 0.100 0.010 0.072220 0.278927 46.133400
800.000 700.000 1.000 0.100 0.010 0.028430 0.817135 5.717270
800.000 550.000 1.000 0.100 0.010 0.252000 0.062557 703.400000
800.000 600.000 1.000 0.100 0.010 0.152100 0.116711 234.487000
