MHA MHH tb WRA WRH CS MU NLL
800.000 550.000 1.000 0.050 0.050 0.099650 0.156574 134.768000
800.000 600.000 1.000 0.050 0.050 0.060710 0.291782 42.115000
800.000 650.000 1.000 0.050 0.050 0.029220 0.684032 8.100810
800.000 700.000 1.000 0.050 0.050 0.012070 2.104950 0.877452
750.000 650.000 1.000 0.050 0.050 0.014360 1.724430 1.303900
800.000 400.000 1.000 0.050 0.050 0.101800 0.111187 222.874000
800.000 450.000 1.000 0.050 0.050 0.140400 0.085918 372.966000
800.000 500.000 1.000 0.050 0.050 0.132600 0.104046 277.761000
600.000 500.000 1.000 0.050 0.050 0.021340 1.210980 2.628960
600.000 450.000 1.000 0.050 0.050 0.056700 0.394314 23.647500
650.000 450.000 1.000 0.050 0.050 0.094850 0.199963 86.023100
650.000 400.000 1.000 0.050 0.050 0.093840 0.179897 101.281000
550.000 400.000 1.000 0.050 0.050 0.044770 0.524761 13.518900
500.000 400.000 1.000 0.050 0.050 0.017260 1.702090 1.339780
600.000 400.000 1.000 0.050 0.050 0.074240 0.261196 51.057600
550.000 450.000 1.000 0.050 0.050 0.021370 1.279920 2.356510
650.000 550.000 1.000 0.050 0.050 0.019440 1.333910 2.170220
650.000 500.000 1.000 0.050 0.050 0.053590 0.405140 22.536900
700.000 450.000 1.000 0.050 0.050 0.121600 0.132870 180.450000
700.000 400.000 1.000 0.050 0.050 0.103300 0.136326 163.570000
700.000 550.000 1.000 0.050 0.050 0.045500 0.453266 18.100000
700.000 500.000 1.000 0.050 0.050 0.089650 0.202381 84.504600
750.000 400.000 1.000 0.050 0.050 0.105000 0.120510 198.794000
700.000 600.000 1.000 0.050 0.050 0.016940 1.534100 1.644430
750.000 500.000 1.000 0.050 0.050 0.116700 0.137112 172.474000
750.000 450.000 1.000 0.050 0.050 0.135800 0.102230 281.244000
750.000 600.000 1.000 0.050 0.050 0.036850 0.564152 11.825600
750.000 550.000 1.000 0.050 0.050 0.075610 0.237965 62.174900
