MHA MHH tb WRA WRH CS MU NLL
750.000 600.000 1.000 0.005 0.100 0.187800 0.111233 260.487000
750.000 550.000 1.000 0.005 0.100 0.370300 0.047718 1138.730000
750.000 400.000 1.000 0.005 0.100 0.533200 0.022419 3139.750000
700.000 600.000 1.000 0.005 0.100 0.094890 0.288387 43.846800
750.000 500.000 1.000 0.005 0.100 0.563500 0.027393 2780.050000
750.000 450.000 1.000 0.005 0.100 0.658900 0.019810 4211.540000
700.000 450.000 1.000 0.005 0.100 0.586500 0.026226 2894.810000
700.000 400.000 1.000 0.005 0.100 0.518900 0.027302 2471.660000
700.000 550.000 1.000 0.005 0.100 0.226700 0.093090 357.843000
700.000 500.000 1.000 0.005 0.100 0.433600 0.039059 1586.490000
650.000 550.000 1.000 0.005 0.100 0.106300 0.269947 49.807400
650.000 500.000 1.000 0.005 0.100 0.260700 0.081554 450.980000
550.000 400.000 1.000 0.005 0.100 0.215200 0.114582 234.050000
500.000 400.000 1.000 0.005 0.100 0.098720 0.276302 46.719000
600.000 400.000 1.000 0.005 0.100 0.361400 0.055088 838.301000
550.000 450.000 1.000 0.005 0.100 0.111700 0.269962 49.409400
600.000 500.000 1.000 0.005 0.100 0.113300 0.262325 52.503500
600.000 450.000 1.000 0.005 0.100 0.270100 0.080769 452.744000
650.000 450.000 1.000 0.005 0.100 0.454300 0.039585 1528.940000
650.000 400.000 1.000 0.005 0.100 0.465100 0.036221 1648.550000
750.000 650.000 1.000 0.005 0.100 0.082260 0.331310 33.502600
800.000 400.000 1.000 0.005 0.100 0.520600 0.019833 3524.320000
800.000 450.000 1.000 0.005 0.100 0.682800 0.016384 5274.040000
800.000 500.000 1.000 0.005 0.100 0.640600 0.019413 4420.450000
800.000 550.000 1.000 0.005 0.100 0.484700 0.030140 2349.410000
800.000 600.000 1.000 0.005 0.100 0.301400 0.058323 805.931000
800.000 650.000 1.000 0.005 0.100 0.152200 0.138134 174.241000
800.000 700.000 1.000 0.005 0.100 0.070070 0.356312 29.035500
