MHA MHH tb WRA WRH CS MU NLL
650.000 550.000 1.000 0.025 0.010 0.102500 0.208668 78.990200
650.000 500.000 1.000 0.025 0.010 0.553700 0.033810 2004.080000
550.000 400.000 1.000 0.025 0.010 0.492300 0.040020 1391.130000
500.000 400.000 1.000 0.025 0.010 0.098320 0.231747 62.786300
600.000 400.000 1.000 0.025 0.010 0.845800 0.019939 4157.440000
550.000 450.000 1.000 0.025 0.010 0.124400 0.172367 111.157000
600.000 500.000 1.000 0.025 0.010 0.118500 0.178860 105.353000
600.000 450.000 1.000 0.025 0.010 0.610600 0.030308 2332.360000
650.000 450.000 1.000 0.025 0.010 1.080000 0.014896 7040.960000
650.000 400.000 1.000 0.025 0.010 1.048000 0.013935 6874.810000
750.000 650.000 1.000 0.025 0.010 0.069200 0.308651 37.702800
800.000 400.000 1.000 0.025 0.010 1.054000 0.009068 10021.800000
800.000 450.000 1.000 0.025 0.010 1.538000 0.006802 18286.800000
800.000 500.000 1.000 0.025 0.010 1.479000 0.007771 16587.100000
800.000 550.000 1.000 0.025 0.010 1.110000 0.011867 9567.940000
800.000 600.000 1.000 0.025 0.010 0.649800 0.022564 3662.350000
800.000 650.000 1.000 0.025 0.010 0.264100 0.061359 700.046000
800.000 700.000 1.000 0.025 0.010 0.055820 0.393490 23.657800
750.000 600.000 1.000 0.025 0.010 0.347800 0.047398 1103.750000
750.000 550.000 1.000 0.025 0.010 0.828000 0.019062 4872.430000
750.000 400.000 1.000 0.025 0.010 1.113000 0.009907 9909.670000
700.000 600.000 1.000 0.025 0.010 0.085060 0.257664 53.219300
750.000 500.000 1.000 0.025 0.010 1.313000 0.010151 12147.300000
750.000 450.000 1.000 0.025 0.010 1.516000 0.007877 16185.900000
700.000 450.000 1.000 0.025 0.010 1.378000 0.010395 11662.600000
700.000 400.000 1.000 0.025 0.010 1.121000 0.010922 9144.470000
700.000 550.000 1.000 0.025 0.010 0.449200 0.038349 1587.160000
700.000 500.000 1.000 0.025 0.010 1.002000 0.015667 6608.030000
