MHA MHH tb WRA WRH CS MU NLL
550.000 400.000 1.000 0.250 0.005 0.093950 0.250492 56.713600
500.000 400.000 1.000 0.250 0.005 0.051960 0.485889 15.835100
600.000 400.000 1.000 0.250 0.005 0.134200 0.160748 129.855000
550.000 450.000 1.000 0.250 0.005 0.070350 0.345760 30.884900
600.000 500.000 1.000 0.250 0.005 0.070210 0.332150 33.411000
600.000 450.000 1.000 0.250 0.005 0.123800 0.182034 105.444000
650.000 450.000 1.000 0.250 0.005 0.177400 0.113171 253.820000
650.000 400.000 1.000 0.250 0.005 0.162600 0.117123 228.760000
650.000 550.000 1.000 0.250 0.005 0.063370 0.362560 28.141900
650.000 500.000 1.000 0.250 0.005 0.119200 0.182835 104.835000
750.000 650.000 1.000 0.250 0.005 0.046550 0.492634 15.426900
800.000 400.000 1.000 0.250 0.005 0.181100 0.078808 418.604000
800.000 450.000 1.000 0.250 0.005 0.254600 0.059048 746.808000
800.000 500.000 1.000 0.250 0.005 0.239600 0.070309 574.530000
800.000 550.000 1.000 0.250 0.005 0.182500 0.099079 317.306000
800.000 600.000 1.000 0.250 0.005 0.119400 0.164883 125.047000
800.000 650.000 1.000 0.250 0.005 0.069260 0.307934 38.185100
800.000 700.000 1.000 0.250 0.005 0.039160 0.632854 9.443090
750.000 400.000 1.000 0.250 0.005 0.182900 0.084126 389.477000
700.000 600.000 1.000 0.250 0.005 0.054950 0.408932 22.228500
750.000 500.000 1.000 0.250 0.005 0.211400 0.084438 424.789000
750.000 450.000 1.000 0.250 0.005 0.243100 0.068966 592.218000
700.000 450.000 1.000 0.250 0.005 0.218200 0.084896 419.412000
700.000 400.000 1.000 0.250 0.005 0.177900 0.096233 317.191000
700.000 550.000 1.000 0.250 0.005 0.103200 0.207966 81.837500
700.000 500.000 1.000 0.250 0.005 0.170200 0.118534 233.839000
750.000 600.000 1.000 0.250 0.005 0.085350 0.245701 59.281600
750.000 550.000 1.000 0.250 0.005 0.146100 0.131771 191.298000
