MHA MHH tb WRA WRH CS MU NLL
750.000 500.000 1.000 0.100 0.025 0.115300 0.144520 158.050000
750.000 450.000 1.000 0.100 0.025 0.134200 0.109592 253.780000
750.000 400.000 1.000 0.100 0.025 0.101900 0.131191 173.516000
700.000 600.000 1.000 0.100 0.025 0.018370 1.292420 2.310520
700.000 550.000 1.000 0.100 0.025 0.046390 0.452274 18.243100
700.000 500.000 1.000 0.100 0.025 0.089060 0.215336 75.756500
700.000 450.000 1.000 0.100 0.025 0.120200 0.143368 159.397000
700.000 400.000 1.000 0.100 0.025 0.100200 0.153049 134.580000
750.000 600.000 1.000 0.100 0.025 0.037460 0.563869 11.846600
750.000 550.000 1.000 0.100 0.025 0.074970 0.249699 56.988600
800.000 650.000 1.000 0.100 0.025 0.029630 0.699169 7.765700
800.000 700.000 1.000 0.100 0.025 0.012840 1.888070 1.089740
800.000 550.000 1.000 0.100 0.025 0.098220 0.161572 128.108000
800.000 600.000 1.000 0.100 0.025 0.060020 0.296528 40.869600
800.000 450.000 1.000 0.100 0.025 0.139000 0.094219 322.620000
800.000 500.000 1.000 0.100 0.025 0.131200 0.111820 247.291000
750.000 650.000 1.000 0.100 0.025 0.015420 1.544320 1.623340
800.000 400.000 1.000 0.100 0.025 0.099040 0.122639 189.471000
650.000 450.000 1.000 0.100 0.025 0.094530 0.205425 82.314200
650.000 400.000 1.000 0.100 0.025 0.091520 0.194134 89.016500
600.000 500.000 1.000 0.100 0.025 0.023900 1.026360 3.647340
600.000 450.000 1.000 0.100 0.025 0.058370 0.373409 26.391700
600.000 400.000 1.000 0.100 0.025 0.073370 0.272701 47.408000
550.000 450.000 1.000 0.100 0.025 0.024190 1.062460 3.406330
550.000 400.000 1.000 0.100 0.025 0.045860 0.508480 14.412200
500.000 400.000 1.000 0.100 0.025 0.018710 1.479720 1.768970
650.000 550.000 1.000 0.100 0.025 0.021440 1.115100 3.095050
650.000 500.000 1.000 0.100 0.025 0.054870 0.392948 23.962000
