MHA MHH tb WRA WRH CS MU NLL
650.000 450.000 1.000 0.250 0.025 0.034170 0.611546 10.106100
650.000 400.000 1.000 0.250 0.025 0.031540 0.624340 9.663380
600.000 500.000 1.000 0.250 0.025 0.014380 1.622590 1.470530
600.000 450.000 1.000 0.250 0.025 0.024120 0.966564 4.106980
600.000 400.000 1.000 0.250 0.025 0.025940 0.811153 5.795970
550.000 450.000 1.000 0.250 0.025 0.014270 1.756220 1.256570
550.000 400.000 1.000 0.250 0.025 0.018340 1.293170 2.310900
500.000 400.000 1.000 0.250 0.025 0.010680 2.370560 0.693498
650.000 550.000 1.000 0.250 0.025 0.013130 1.782090 1.220710
650.000 500.000 1.000 0.250 0.025 0.023440 0.943302 4.309610
750.000 500.000 1.000 0.250 0.025 0.040860 0.447895 18.514900
750.000 450.000 1.000 0.250 0.025 0.046910 0.356045 28.665700
750.000 400.000 1.000 0.250 0.025 0.035980 0.455074 17.666600
700.000 600.000 1.000 0.250 0.025 0.011470 2.072390 0.904588
700.000 550.000 1.000 0.250 0.025 0.020520 1.052440 3.470860
700.000 500.000 1.000 0.250 0.025 0.033060 0.618771 9.882860
700.000 450.000 1.000 0.250 0.025 0.042010 0.442310 18.959800
700.000 400.000 1.000 0.250 0.025 0.034760 0.501942 14.705100
750.000 600.000 1.000 0.250 0.025 0.017150 1.290870 2.317240
750.000 550.000 1.000 0.250 0.025 0.028520 0.690891 7.954630
800.000 650.000 1.000 0.250 0.025 0.014050 1.570830 1.571670
800.000 700.000 1.000 0.250 0.025 0.008284 3.170380 0.388921
800.000 550.000 1.000 0.250 0.025 0.035430 0.521015 13.788400
800.000 600.000 1.000 0.250 0.025 0.023460 0.845531 5.344450
800.000 450.000 1.000 0.250 0.025 0.049280 0.316555 35.595900
800.000 500.000 1.000 0.250 0.025 0.046290 0.359264 28.178500
750.000 650.000 1.000 0.250 0.025 0.009797 2.479420 0.634022
800.000 400.000 1.000 0.250 0.025 0.035830 0.412029 21.166800
