MHA MHH tb WRA WRH CS MU NLL
750.000 500.000 1.000 0.250 0.050 0.019590 0.973690 4.047410
750.000 450.000 1.000 0.250 0.050 0.022480 0.771420 6.394230
750.000 400.000 1.000 0.250 0.050 0.017650 0.989017 3.924020
700.000 600.000 1.000 0.250 0.050 0.006067 4.001140 0.243904
700.000 550.000 1.000 0.250 0.050 0.010190 2.194530 0.807453
700.000 500.000 1.000 0.250 0.050 0.015920 1.303620 2.272520
700.000 450.000 1.000 0.250 0.050 0.020060 0.948223 4.264400
700.000 400.000 1.000 0.250 0.050 0.016920 1.074510 3.334060
750.000 600.000 1.000 0.250 0.050 0.008604 2.551360 0.598709
750.000 550.000 1.000 0.250 0.050 0.013880 1.444490 1.854570
800.000 650.000 1.000 0.250 0.050 0.007114 3.158180 0.392280
800.000 700.000 1.000 0.250 0.050 0.004403 5.896600 0.112835
800.000 550.000 1.000 0.250 0.050 0.017070 1.081240 3.291510
800.000 600.000 1.000 0.250 0.050 0.011530 1.822150 1.170710
800.000 450.000 1.000 0.250 0.050 0.023700 0.668751 8.436920
800.000 500.000 1.000 0.250 0.050 0.022190 0.790005 6.101710
750.000 650.000 1.000 0.250 0.050 0.005201 4.726670 0.175166
800.000 400.000 1.000 0.250 0.050 0.017690 0.866688 5.075500
650.000 450.000 1.000 0.250 0.050 0.016370 1.303620 2.272760
650.000 400.000 1.000 0.250 0.050 0.015250 1.293870 2.310580
600.000 500.000 1.000 0.250 0.050 0.007405 3.237970 0.371629
600.000 450.000 1.000 0.250 0.050 0.011710 2.022930 0.949049
600.000 400.000 1.000 0.250 0.050 0.012540 1.763160 1.250730
550.000 450.000 1.000 0.250 0.050 0.007288 3.446630 0.328079
550.000 400.000 1.000 0.250 0.050 0.008955 2.830840 0.487305
500.000 400.000 1.000 0.250 0.050 0.005572 4.871820 0.164896
650.000 550.000 1.000 0.250 0.050 0.006824 3.588760 0.302852
650.000 500.000 1.000 0.250 0.050 0.011620 1.891010 1.085310
