MHA MHH tb WRA WRH CS MU NLL
650.000 450.000 1.000 0.025 0.250 0.028700 0.801197 5.941200
650.000 400.000 1.000 0.025 0.250 0.031600 0.658611 8.707110
600.000 500.000 1.000 0.025 0.250 0.015270 2.173300 0.822513
600.000 450.000 1.000 0.025 0.250 0.020550 1.422900 1.910030
600.000 400.000 1.000 0.025 0.250 0.024840 1.034090 3.594440
550.000 450.000 1.000 0.025 0.250 0.015920 1.908720 1.067590
550.000 400.000 1.000 0.025 0.250 0.018360 1.712420 1.322790
500.000 400.000 1.000 0.025 0.250 0.016380 1.619980 1.481810
650.000 550.000 1.000 0.025 0.250 0.014100 2.316180 0.724127
650.000 500.000 1.000 0.025 0.250 0.020240 1.355290 2.103150
750.000 500.000 1.000 0.025 0.250 0.034700 0.528873 13.389500
750.000 450.000 1.000 0.025 0.250 0.041650 0.390568 23.955400
750.000 400.000 1.000 0.025 0.250 0.039160 0.404583 22.184000
700.000 600.000 1.000 0.025 0.250 0.012620 2.492700 0.625875
700.000 550.000 1.000 0.025 0.250 0.018380 1.438850 1.867830
700.000 500.000 1.000 0.025 0.250 0.027710 0.825489 5.604630
700.000 450.000 1.000 0.025 0.250 0.036310 0.528378 13.399000
700.000 400.000 1.000 0.025 0.250 0.036500 0.505642 14.519300
750.000 600.000 1.000 0.025 0.250 0.016030 1.590400 1.531500
750.000 550.000 1.000 0.025 0.250 0.024550 0.882870 4.910070
800.000 650.000 1.000 0.025 0.250 0.013630 1.761070 1.251320
800.000 700.000 1.000 0.025 0.250 0.009498 3.142670 0.394855
800.000 550.000 1.000 0.025 0.250 0.030330 0.589642 10.824900
800.000 600.000 1.000 0.025 0.250 0.020770 0.981831 3.981530
800.000 450.000 1.000 0.025 0.250 0.044510 0.320980 34.560300
800.000 500.000 1.000 0.025 0.250 0.039720 0.410297 21.792700
750.000 650.000 1.000 0.025 0.250 0.011030 2.861200 0.475714
800.000 400.000 1.000 0.025 0.250 0.039840 0.341793 30.271700
