MHA MHH tb WRA WRH CS MU NLL
650.000 550.000 1.000 0.050 0.005 0.130700 0.169605 119.235000
650.000 500.000 1.000 0.050 0.005 0.552900 0.034870 1937.400000
650.000 450.000 1.000 0.050 0.005 1.053000 0.016643 6180.430000
650.000 400.000 1.000 0.050 0.005 1.020000 0.015484 6150.770000
600.000 500.000 1.000 0.050 0.005 0.151100 0.144390 160.709000
600.000 450.000 1.000 0.050 0.005 0.608400 0.032978 2106.320000
600.000 400.000 1.000 0.050 0.005 0.823900 0.020908 3973.210000
550.000 450.000 1.000 0.050 0.005 0.158400 0.145565 156.583000
550.000 400.000 1.000 0.050 0.005 0.488500 0.042637 1302.090000
500.000 400.000 1.000 0.050 0.005 0.123200 0.187672 94.770900
750.000 600.000 1.000 0.050 0.005 0.351200 0.051998 976.084000
750.000 550.000 1.000 0.050 0.005 0.808800 0.020527 4503.870000
750.000 500.000 1.000 0.050 0.005 1.279000 0.011425 10665.300000
750.000 450.000 1.000 0.050 0.005 1.483000 0.008610 14743.600000
750.000 400.000 1.000 0.050 0.005 1.089000 0.010311 9491.850000
700.000 600.000 1.000 0.050 0.005 0.108200 0.201519 85.936700
700.000 550.000 1.000 0.050 0.005 0.451000 0.042088 1403.710000
700.000 500.000 1.000 0.050 0.005 0.977700 0.016933 6064.310000
700.000 450.000 1.000 0.050 0.005 1.343000 0.011173 10758.700000
700.000 400.000 1.000 0.050 0.005 1.095000 0.011715 8465.820000
800.000 650.000 1.000 0.050 0.005 0.268300 0.069019 590.385000
800.000 700.000 1.000 0.050 0.005 0.071370 0.317646 35.909100
800.000 550.000 1.000 0.050 0.005 1.082000 0.013126 8488.740000
800.000 600.000 1.000 0.050 0.005 0.635500 0.024937 3224.250000
800.000 450.000 1.000 0.050 0.005 1.512000 0.007175 17423.600000
800.000 500.000 1.000 0.050 0.005 1.445000 0.008732 14772.400000
750.000 650.000 1.000 0.050 0.005 0.088480 0.253109 55.659500
800.000 400.000 1.000 0.050 0.005 1.038000 0.009777 9401.550000
