MHA MHH tb WRA WRH CS MU NLL
750.000 600.000 1.000 0.025 0.100 0.037830 0.565426 11.784400
750.000 550.000 1.000 0.025 0.100 0.072340 0.250767 56.367200
700.000 550.000 1.000 0.025 0.100 0.045530 0.487278 15.742400
700.000 500.000 1.000 0.025 0.100 0.084630 0.219631 72.477100
700.000 450.000 1.000 0.025 0.100 0.114100 0.144672 155.261000
700.000 400.000 1.000 0.025 0.100 0.101200 0.148556 142.173000
750.000 500.000 1.000 0.025 0.100 0.109700 0.144085 156.946000
750.000 450.000 1.000 0.025 0.100 0.128500 0.109318 250.993000
750.000 400.000 1.000 0.025 0.100 0.104200 0.126064 185.235000
700.000 600.000 1.000 0.025 0.100 0.020450 1.339040 2.153430
600.000 400.000 1.000 0.025 0.100 0.070330 0.302135 38.852900
550.000 450.000 1.000 0.025 0.100 0.024350 1.245280 2.487640
550.000 400.000 1.000 0.025 0.100 0.042830 0.588322 10.840200
500.000 400.000 1.000 0.025 0.100 0.021230 1.405080 1.960850
650.000 450.000 1.000 0.025 0.100 0.088380 0.215359 74.798800
650.000 400.000 1.000 0.025 0.100 0.090440 0.191975 90.183400
600.000 500.000 1.000 0.025 0.100 0.024590 1.214770 2.612810
600.000 450.000 1.000 0.025 0.100 0.053730 0.437687 19.349400
650.000 550.000 1.000 0.025 0.100 0.022970 1.217950 2.598840
650.000 500.000 1.000 0.025 0.100 0.052110 0.436146 19.507400
800.000 450.000 1.000 0.025 0.100 0.133400 0.091892 332.501000
800.000 500.000 1.000 0.025 0.100 0.125000 0.110401 249.715000
750.000 650.000 1.000 0.025 0.100 0.017690 1.525420 1.662980
800.000 400.000 1.000 0.025 0.100 0.102300 0.108418 232.249000
800.000 650.000 1.000 0.025 0.100 0.030760 0.686329 8.057500
800.000 700.000 1.000 0.025 0.100 0.015050 1.773790 1.232760
800.000 550.000 1.000 0.025 0.100 0.094380 0.165676 121.626000
800.000 600.000 1.000 0.025 0.100 0.059070 0.305859 38.595100
