MHA MHH tb WRA WRH CS MU NLL
800.000 550.000 1.000 0.250 0.250 0.002677 7.438810 0.070995
800.000 600.000 1.000 0.250 0.250 0.001997 10.930500 0.032896
800.000 650.000 1.000 0.250 0.250 0.001476 16.189800 0.014987
800.000 700.000 1.000 0.250 0.250 0.001146 23.600100 0.007060
750.000 650.000 1.000 0.250 0.250 0.001322 20.232500 0.009584
800.000 400.000 1.000 0.250 0.250 0.003391 4.804350 0.171302
800.000 450.000 1.000 0.250 0.250 0.003744 4.531380 0.191719
800.000 500.000 1.000 0.250 0.250 0.003364 5.334640 0.138173
600.000 500.000 1.000 0.250 0.250 0.001798 15.115500 0.017139
600.000 450.000 1.000 0.250 0.250 0.002147 12.266500 0.026019
650.000 450.000 1.000 0.250 0.250 0.002621 8.673710 0.052142
650.000 400.000 1.000 0.250 0.250 0.002684 8.378560 0.055962
550.000 400.000 1.000 0.250 0.250 0.001909 14.739200 0.018039
500.000 400.000 1.000 0.250 0.250 0.001716 15.799200 0.015770
600.000 400.000 1.000 0.250 0.250 0.002275 11.219400 0.031158
550.000 450.000 1.000 0.250 0.250 0.001832 15.158400 0.017067
650.000 550.000 1.000 0.250 0.250 0.001676 16.019800 0.015259
650.000 500.000 1.000 0.250 0.250 0.002120 11.654900 0.028823
700.000 450.000 1.000 0.250 0.250 0.003099 6.671180 0.088194
700.000 400.000 1.000 0.250 0.250 0.003024 6.656540 0.088852
700.000 550.000 1.000 0.250 0.250 0.001947 12.447500 0.025296
700.000 500.000 1.000 0.250 0.250 0.002564 8.630310 0.052614
750.000 400.000 1.000 0.250 0.250 0.003259 5.543670 0.128302
700.000 600.000 1.000 0.250 0.250 0.001507 17.256300 0.013165
750.000 500.000 1.000 0.250 0.250 0.003002 6.631000 0.089249
750.000 450.000 1.000 0.250 0.250 0.003482 5.350690 0.137293
750.000 600.000 1.000 0.250 0.250 0.001714 14.098200 0.019734
750.000 550.000 1.000 0.250 0.250 0.002311 9.489630 0.043561
