MHA MHH tb WRA WRH CS MU NLL
750.000 650.000 1.000 0.025 0.025 0.036690 0.650951 8.932670
800.000 400.000 1.000 0.025 0.025 0.418900 0.022892 2646.450000
800.000 450.000 1.000 0.025 0.025 0.600000 0.017948 4509.240000
800.000 500.000 1.000 0.025 0.025 0.574000 0.021320 3737.930000
800.000 550.000 1.000 0.025 0.025 0.431500 0.031536 2105.860000
800.000 600.000 1.000 0.025 0.025 0.255500 0.060848 720.190000
800.000 650.000 1.000 0.025 0.025 0.109300 0.163677 123.463000
800.000 700.000 1.000 0.025 0.025 0.030210 0.779263 6.275390
750.000 600.000 1.000 0.025 0.025 0.141800 0.126957 197.435000
750.000 550.000 1.000 0.025 0.025 0.323300 0.049358 1044.290000
750.000 400.000 1.000 0.025 0.025 0.439400 0.025265 2502.600000
700.000 600.000 1.000 0.025 0.025 0.043980 0.536625 13.028800
750.000 500.000 1.000 0.025 0.025 0.508600 0.027317 2681.710000
750.000 450.000 1.000 0.025 0.025 0.588300 0.020901 3803.460000
700.000 450.000 1.000 0.025 0.025 0.532600 0.026829 2697.700000
700.000 400.000 1.000 0.025 0.025 0.439400 0.029461 2065.910000
700.000 550.000 1.000 0.025 0.025 0.180200 0.101025 300.102000
700.000 500.000 1.000 0.025 0.025 0.388700 0.041973 1365.790000
650.000 550.000 1.000 0.025 0.025 0.051680 0.467892 17.012700
650.000 500.000 1.000 0.025 0.025 0.218700 0.088245 384.123000
550.000 400.000 1.000 0.025 0.025 0.189800 0.103085 277.464000
500.000 400.000 1.000 0.025 0.025 0.047110 0.546581 12.447600
600.000 400.000 1.000 0.025 0.025 0.325500 0.053081 858.084000
550.000 450.000 1.000 0.025 0.025 0.059200 0.411060 21.705400
600.000 500.000 1.000 0.025 0.025 0.058000 0.412724 21.647700
600.000 450.000 1.000 0.025 0.025 0.237600 0.081547 437.349000
650.000 450.000 1.000 0.025 0.025 0.416300 0.040119 1462.290000
650.000 400.000 1.000 0.025 0.025 0.406900 0.036839 1524.870000
