MHA MHH tb WRA WRH CS MU NLL
800.000 550.000 1.000 0.010 0.025 1.102000 0.011784 9556.600000
800.000 600.000 1.000 0.010 0.025 0.650600 0.022533 3629.850000
800.000 650.000 1.000 0.010 0.025 0.269900 0.061634 693.956000
800.000 700.000 1.000 0.010 0.025 0.062210 0.372044 26.414100
750.000 650.000 1.000 0.010 0.025 0.075660 0.303776 39.064800
800.000 400.000 1.000 0.010 0.025 1.060000 0.008625 10462.300000
800.000 450.000 1.000 0.010 0.025 1.523000 0.006611 18357.300000
800.000 500.000 1.000 0.010 0.025 1.466000 0.007748 16487.600000
650.000 550.000 1.000 0.010 0.025 0.106800 0.208729 79.013900
650.000 500.000 1.000 0.010 0.025 0.549200 0.032787 2073.170000
600.000 500.000 1.000 0.010 0.025 0.120000 0.190044 93.426000
600.000 450.000 1.000 0.010 0.025 0.599600 0.029766 2372.990000
650.000 450.000 1.000 0.010 0.025 1.066000 0.015194 6734.260000
650.000 400.000 1.000 0.010 0.025 1.041000 0.013928 6796.720000
550.000 400.000 1.000 0.010 0.025 0.480900 0.038670 1450.370000
500.000 400.000 1.000 0.010 0.025 0.098470 0.243122 56.883600
600.000 400.000 1.000 0.010 0.025 0.835200 0.019260 4254.170000
550.000 450.000 1.000 0.010 0.025 0.122100 0.188877 93.178800
750.000 600.000 1.000 0.010 0.025 0.352200 0.048008 1074.410000
750.000 550.000 1.000 0.010 0.025 0.824900 0.018093 5198.530000
700.000 450.000 1.000 0.010 0.025 1.363000 0.009838 12278.600000
700.000 400.000 1.000 0.010 0.025 1.121000 0.010815 9215.920000
700.000 550.000 1.000 0.010 0.025 0.450100 0.039112 1539.470000
700.000 500.000 1.000 0.010 0.025 0.993500 0.015331 6722.340000
750.000 400.000 1.000 0.010 0.025 1.116000 0.009251 10700.100000
700.000 600.000 1.000 0.010 0.025 0.091010 0.247639 57.495800
750.000 500.000 1.000 0.010 0.025 1.301000 0.010387 11647.700000
750.000 450.000 1.000 0.010 0.025 1.502000 0.007717 16111.300000
