MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.025 0.010 0.098550 0.228741 64.287600
550.000 400.000 1.000 0.025 0.010 0.491700 0.038715 1467.670000
700.000 400.000 1.000 0.025 0.010 1.123000 0.011608 8547.490000
700.000 450.000 1.000 0.025 0.010 1.379000 0.010410 11583.400000
700.000 500.000 1.000 0.025 0.010 1.002000 0.015568 6698.650000
700.000 550.000 1.000 0.025 0.010 0.449900 0.039295 1534.370000
700.000 600.000 1.000 0.025 0.010 0.084800 0.252705 55.231800
750.000 400.000 1.000 0.025 0.010 1.113000 0.009701 10095.000000
750.000 450.000 1.000 0.025 0.010 1.517000 0.007694 16573.600000
750.000 500.000 1.000 0.025 0.010 1.313000 0.010357 11703.600000
750.000 550.000 1.000 0.025 0.010 0.827800 0.018375 5106.200000
750.000 600.000 1.000 0.025 0.010 0.347900 0.048779 1056.860000
550.000 450.000 1.000 0.025 0.010 0.124200 0.175083 107.639000
750.000 650.000 1.000 0.025 0.010 0.069010 0.305668 38.370700
800.000 400.000 1.000 0.025 0.010 1.055000 0.008915 10189.200000
800.000 450.000 1.000 0.025 0.010 1.537000 0.006634 18609.700000
800.000 500.000 1.000 0.025 0.010 1.481000 0.007923 16268.200000
800.000 550.000 1.000 0.025 0.010 1.108000 0.011898 9458.100000
800.000 600.000 1.000 0.025 0.010 0.649900 0.022900 3555.140000
800.000 650.000 1.000 0.025 0.010 0.264300 0.062687 674.260000
800.000 700.000 1.000 0.025 0.010 0.055840 0.382565 24.927000
600.000 400.000 1.000 0.025 0.010 0.845300 0.019115 4348.340000
600.000 450.000 1.000 0.025 0.010 0.609500 0.030674 2304.270000
600.000 500.000 1.000 0.025 0.010 0.118500 0.181667 102.104000
650.000 400.000 1.000 0.025 0.010 1.048000 0.014027 6874.290000
650.000 450.000 1.000 0.025 0.010 1.080000 0.015331 6755.880000
650.000 500.000 1.000 0.025 0.010 0.553600 0.032314 2129.800000
650.000 550.000 1.000 0.025 0.010 0.102400 0.206432 80.832200
