MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.010 0.100 0.050350 0.551243 12.338200
550.000 400.000 1.000 0.010 0.100 0.107500 0.228016 66.199900
700.000 400.000 1.000 0.010 0.100 0.257900 0.054172 796.168000
700.000 450.000 1.000 0.010 0.100 0.291300 0.054325 868.073000
700.000 500.000 1.000 0.010 0.100 0.215400 0.083233 428.894000
700.000 550.000 1.000 0.010 0.100 0.113600 0.187038 98.815100
700.000 600.000 1.000 0.010 0.100 0.048340 0.575428 11.413000
750.000 400.000 1.000 0.010 0.100 0.265500 0.045612 1025.860000
750.000 450.000 1.000 0.010 0.100 0.327500 0.041309 1314.160000
750.000 500.000 1.000 0.010 0.100 0.280300 0.054180 888.599000
750.000 550.000 1.000 0.010 0.100 0.184100 0.096325 332.141000
750.000 600.000 1.000 0.010 0.100 0.094180 0.228016 68.123400
550.000 450.000 1.000 0.010 0.100 0.057110 0.515911 14.103900
750.000 650.000 1.000 0.010 0.100 0.041900 0.639034 9.289690
800.000 400.000 1.000 0.010 0.100 0.259200 0.040852 1151.550000
800.000 450.000 1.000 0.010 0.100 0.339100 0.034290 1695.020000
800.000 500.000 1.000 0.010 0.100 0.318500 0.040821 1355.390000
800.000 550.000 1.000 0.010 0.100 0.240900 0.062496 693.111000
800.000 600.000 1.000 0.010 0.100 0.150000 0.116619 234.118000
800.000 650.000 1.000 0.010 0.100 0.076360 0.275112 47.493400
800.000 700.000 1.000 0.010 0.100 0.035740 0.718845 7.364220
600.000 400.000 1.000 0.010 0.100 0.179300 0.108738 253.097000
600.000 450.000 1.000 0.010 0.100 0.134600 0.169285 118.005000
600.000 500.000 1.000 0.010 0.100 0.057920 0.512966 14.288200
650.000 400.000 1.000 0.010 0.100 0.230900 0.072300 510.508000
650.000 450.000 1.000 0.010 0.100 0.225400 0.081409 439.637000
650.000 500.000 1.000 0.010 0.100 0.130400 0.169308 118.785000
650.000 550.000 1.000 0.010 0.100 0.054060 0.522083 13.808800
