MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.010 0.010 0.190900 0.100254 265.330000
550.000 400.000 1.000 0.010 0.010 1.250000 0.014477 6734.960000
700.000 400.000 1.000 0.010 0.010 2.863000 0.004162 34665.600000
700.000 450.000 1.000 0.010 0.010 3.531000 0.003757 47126.400000
700.000 500.000 1.000 0.010 0.010 2.563000 0.005817 27832.400000
700.000 550.000 1.000 0.010 0.010 1.123000 0.014393 7328.150000
700.000 600.000 1.000 0.010 0.010 0.157600 0.119015 213.467000
750.000 400.000 1.000 0.010 0.010 2.829000 0.003635 38073.000000
750.000 450.000 1.000 0.010 0.010 3.861000 0.002872 61699.500000
750.000 500.000 1.000 0.010 0.010 3.363000 0.003757 47908.200000
750.000 550.000 1.000 0.010 0.010 2.116000 0.006794 22051.600000
750.000 600.000 1.000 0.010 0.010 0.864400 0.017834 5118.610000
550.000 450.000 1.000 0.010 0.010 0.236600 0.079472 420.653000
750.000 650.000 1.000 0.010 0.010 0.127200 0.153149 136.474000
800.000 400.000 1.000 0.010 0.010 2.666000 0.003216 38279.400000
800.000 450.000 1.000 0.010 0.010 3.906000 0.002476 68118.200000
800.000 500.000 1.000 0.010 0.010 3.775000 0.002895 61964.200000
800.000 550.000 1.000 0.010 0.010 2.837000 0.004345 38680.400000
800.000 600.000 1.000 0.010 0.010 1.657000 0.008404 15672.700000
800.000 650.000 1.000 0.010 0.010 0.651800 0.023167 3314.240000
800.000 700.000 1.000 0.010 0.010 0.101700 0.195759 86.851300
600.000 400.000 1.000 0.010 0.010 2.170000 0.007206 18102.200000
600.000 450.000 1.000 0.010 0.010 1.543000 0.011211 10815.500000
600.000 500.000 1.000 0.010 0.010 0.223800 0.085911 379.009000
650.000 400.000 1.000 0.010 0.010 2.688000 0.005116 28386.200000
650.000 450.000 1.000 0.010 0.010 2.767000 0.005505 29173.100000
650.000 500.000 1.000 0.010 0.010 1.392000 0.012096 9714.690000
650.000 550.000 1.000 0.010 0.010 0.191600 0.102093 282.093000
