MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.005 0.100 0.098580 0.289272 42.867600
550.000 400.000 1.000 0.005 0.100 0.215200 0.110363 250.870000
700.000 400.000 1.000 0.005 0.100 0.520000 0.027019 2486.610000
700.000 450.000 1.000 0.005 0.100 0.587100 0.026607 2822.350000
700.000 500.000 1.000 0.005 0.100 0.434300 0.040775 1472.390000
700.000 550.000 1.000 0.005 0.100 0.226800 0.093319 357.337000
700.000 600.000 1.000 0.005 0.100 0.094770 0.291096 43.023200
750.000 400.000 1.000 0.005 0.100 0.534200 0.022968 3048.110000
750.000 450.000 1.000 0.005 0.100 0.659600 0.020199 4133.380000
750.000 500.000 1.000 0.005 0.100 0.564400 0.026867 2837.020000
750.000 550.000 1.000 0.005 0.100 0.370800 0.046780 1177.300000
750.000 600.000 1.000 0.005 0.100 0.188000 0.111889 257.415000
550.000 450.000 1.000 0.005 0.100 0.111600 0.264034 51.580900
750.000 650.000 1.000 0.005 0.100 0.082320 0.327450 34.267400
800.000 400.000 1.000 0.005 0.100 0.521800 0.019909 3522.500000
800.000 450.000 1.000 0.005 0.100 0.682700 0.016689 5167.680000
800.000 500.000 1.000 0.005 0.100 0.641400 0.020016 4256.050000
800.000 550.000 1.000 0.005 0.100 0.485300 0.030697 2280.510000
800.000 600.000 1.000 0.005 0.100 0.301000 0.058552 801.107000
800.000 650.000 1.000 0.005 0.100 0.152400 0.134411 182.997000
800.000 700.000 1.000 0.005 0.100 0.070130 0.377666 25.955900
600.000 400.000 1.000 0.005 0.100 0.361300 0.053120 881.752000
600.000 450.000 1.000 0.005 0.100 0.269800 0.081631 445.237000
600.000 500.000 1.000 0.005 0.100 0.113200 0.263561 51.991600
650.000 400.000 1.000 0.005 0.100 0.465000 0.035687 1667.060000
650.000 450.000 1.000 0.005 0.100 0.454100 0.039898 1504.720000
650.000 500.000 1.000 0.005 0.100 0.261400 0.082798 438.930000
650.000 550.000 1.000 0.005 0.100 0.106100 0.275692 47.797200
