MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.250 0.050 0.005564 4.874490 0.164638
550.000 400.000 1.000 0.250 0.050 0.008956 2.803680 0.496864
700.000 400.000 1.000 0.250 0.050 0.016920 1.079560 3.303730
700.000 450.000 1.000 0.250 0.050 0.020050 0.969715 4.080200
700.000 500.000 1.000 0.250 0.050 0.015920 1.314560 2.235150
700.000 550.000 1.000 0.250 0.050 0.010180 2.162590 0.831288
700.000 600.000 1.000 0.250 0.050 0.006022 4.027580 0.240678
750.000 400.000 1.000 0.250 0.050 0.017660 0.938801 4.345380
750.000 450.000 1.000 0.250 0.050 0.022500 0.788280 6.129080
750.000 500.000 1.000 0.250 0.050 0.019600 0.947361 4.272110
750.000 550.000 1.000 0.250 0.050 0.013860 1.448850 1.843630
750.000 600.000 1.000 0.250 0.050 0.008665 2.584200 0.583769
550.000 450.000 1.000 0.250 0.050 0.007286 3.494540 0.319219
750.000 650.000 1.000 0.250 0.050 0.005230 4.739960 0.174143
800.000 400.000 1.000 0.250 0.050 0.017680 0.860561 5.146920
800.000 450.000 1.000 0.250 0.050 0.023720 0.685932 8.029550
800.000 500.000 1.000 0.250 0.050 0.022180 0.763599 6.522550
800.000 550.000 1.000 0.250 0.050 0.017080 1.102110 3.169580
800.000 600.000 1.000 0.250 0.050 0.011510 1.820390 1.172890
800.000 650.000 1.000 0.250 0.050 0.007111 3.201050 0.381599
800.000 700.000 1.000 0.250 0.050 0.004407 6.009110 0.108564
600.000 400.000 1.000 0.250 0.050 0.012490 1.802670 1.197100
600.000 450.000 1.000 0.250 0.050 0.011720 2.007980 0.963342
600.000 500.000 1.000 0.250 0.050 0.007403 3.246010 0.369761
650.000 400.000 1.000 0.250 0.050 0.015250 1.325280 2.203990
650.000 450.000 1.000 0.250 0.050 0.016350 1.286420 2.333440
650.000 500.000 1.000 0.250 0.050 0.011500 1.999830 0.970807
650.000 550.000 1.000 0.250 0.050 0.006828 3.568200 0.306275
