MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.250 0.025 0.010680 2.421870 0.664405
550.000 400.000 1.000 0.250 0.025 0.018320 1.302750 2.277040
700.000 400.000 1.000 0.250 0.025 0.034720 0.520153 13.735600
700.000 450.000 1.000 0.250 0.025 0.041970 0.443966 18.825600
700.000 500.000 1.000 0.250 0.025 0.033000 0.605061 10.325500
700.000 550.000 1.000 0.250 0.025 0.020510 1.067530 3.374480
700.000 600.000 1.000 0.250 0.025 0.011500 2.037300 0.936376
750.000 400.000 1.000 0.250 0.025 0.035930 0.435055 19.246200
750.000 450.000 1.000 0.250 0.025 0.046890 0.362415 27.720600
750.000 500.000 1.000 0.250 0.025 0.040850 0.452358 18.180500
750.000 550.000 1.000 0.250 0.025 0.028540 0.689220 7.992130
750.000 600.000 1.000 0.250 0.025 0.017150 1.275420 2.373290
550.000 450.000 1.000 0.250 0.025 0.014270 1.698940 1.342370
750.000 650.000 1.000 0.250 0.025 0.009811 2.494020 0.626508
800.000 400.000 1.000 0.250 0.025 0.035760 0.410450 21.298700
800.000 450.000 1.000 0.250 0.025 0.049300 0.316349 35.648200
800.000 500.000 1.000 0.250 0.025 0.046260 0.360439 28.016100
800.000 550.000 1.000 0.250 0.025 0.035440 0.518253 13.925800
800.000 600.000 1.000 0.250 0.025 0.023470 0.844570 5.357030
800.000 650.000 1.000 0.250 0.025 0.014040 1.558200 1.597010
800.000 700.000 1.000 0.250 0.025 0.008301 3.017610 0.429195
600.000 400.000 1.000 0.250 0.025 0.025950 0.837231 5.446870
600.000 450.000 1.000 0.250 0.025 0.024100 0.968761 4.088600
600.000 500.000 1.000 0.250 0.025 0.014390 1.681270 1.370240
650.000 400.000 1.000 0.250 0.025 0.031540 0.624928 9.645700
650.000 450.000 1.000 0.250 0.025 0.034150 0.601688 10.430600
650.000 500.000 1.000 0.250 0.025 0.023460 0.946873 4.277680
650.000 550.000 1.000 0.250 0.025 0.013120 1.786570 1.214640
