MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.050 0.025 0.029060 0.905354 4.668660
550.000 400.000 1.000 0.050 0.025 0.093400 0.237247 61.418100
700.000 400.000 1.000 0.050 0.025 0.213000 0.065281 584.412000
700.000 450.000 1.000 0.050 0.025 0.256700 0.060268 734.047000
700.000 500.000 1.000 0.050 0.025 0.187800 0.093861 346.640000
700.000 550.000 1.000 0.050 0.025 0.090620 0.215321 75.367400
700.000 600.000 1.000 0.050 0.025 0.027510 0.878826 4.955270
750.000 400.000 1.000 0.050 0.025 0.214200 0.056217 718.827000
750.000 450.000 1.000 0.050 0.025 0.284900 0.046055 1098.840000
750.000 500.000 1.000 0.050 0.025 0.245500 0.062107 702.774000
750.000 550.000 1.000 0.050 0.025 0.156700 0.111034 255.229000
750.000 600.000 1.000 0.050 0.025 0.071980 0.272968 48.036600
550.000 450.000 1.000 0.050 0.025 0.036900 0.682911 8.131980
750.000 650.000 1.000 0.050 0.025 0.022940 1.044900 3.520860
800.000 400.000 1.000 0.050 0.025 0.205400 0.051189 786.750000
800.000 450.000 1.000 0.050 0.025 0.292000 0.039204 1364.660000
800.000 500.000 1.000 0.050 0.025 0.278400 0.046902 1083.640000
800.000 550.000 1.000 0.050 0.025 0.208300 0.071552 546.402000
800.000 600.000 1.000 0.050 0.025 0.124400 0.137081 172.904000
800.000 650.000 1.000 0.050 0.025 0.056090 0.347729 30.052300
800.000 700.000 1.000 0.050 0.025 0.019000 1.265770 2.409560
600.000 400.000 1.000 0.050 0.025 0.156700 0.117077 222.621000
600.000 450.000 1.000 0.050 0.025 0.117500 0.176510 108.754000
600.000 500.000 1.000 0.050 0.025 0.036260 0.678501 8.246150
650.000 400.000 1.000 0.050 0.025 0.195800 0.080967 417.848000
650.000 450.000 1.000 0.050 0.025 0.200700 0.088604 379.229000
650.000 500.000 1.000 0.050 0.025 0.109100 0.186771 98.325300
650.000 550.000 1.000 0.050 0.025 0.032420 0.742085 6.915370
