MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.250 0.250 0.001715 15.812700 0.015738
550.000 400.000 1.000 0.250 0.250 0.001903 14.659300 0.018231
700.000 400.000 1.000 0.250 0.250 0.003023 6.472580 0.093966
700.000 450.000 1.000 0.250 0.250 0.003089 6.724090 0.086746
700.000 500.000 1.000 0.250 0.250 0.002565 8.586400 0.053168
700.000 550.000 1.000 0.250 0.250 0.001948 12.554400 0.024865
700.000 600.000 1.000 0.250 0.250 0.001508 17.394100 0.012954
750.000 400.000 1.000 0.250 0.250 0.003253 5.603530 0.125626
750.000 450.000 1.000 0.250 0.250 0.003486 5.378380 0.135880
750.000 500.000 1.000 0.250 0.250 0.003004 6.674590 0.088086
750.000 550.000 1.000 0.250 0.250 0.002312 9.275490 0.045589
750.000 600.000 1.000 0.250 0.250 0.001716 13.947900 0.020166
550.000 450.000 1.000 0.250 0.250 0.001827 15.410700 0.016502
750.000 650.000 1.000 0.250 0.250 0.001323 19.771800 0.010036
800.000 400.000 1.000 0.250 0.250 0.003385 4.844240 0.168648
800.000 450.000 1.000 0.250 0.250 0.003747 4.711150 0.177346
800.000 500.000 1.000 0.250 0.250 0.003363 5.467220 0.131547
800.000 550.000 1.000 0.250 0.250 0.002680 7.396760 0.071814
800.000 600.000 1.000 0.250 0.250 0.002002 10.705100 0.034290
800.000 650.000 1.000 0.250 0.250 0.001478 16.204200 0.014963
800.000 700.000 1.000 0.250 0.250 0.001147 23.126800 0.007349
600.000 400.000 1.000 0.250 0.250 0.002274 11.424700 0.030049
600.000 450.000 1.000 0.250 0.250 0.002146 12.175900 0.026403
600.000 500.000 1.000 0.250 0.250 0.001804 15.152200 0.017051
650.000 400.000 1.000 0.250 0.250 0.002685 8.444200 0.055093
650.000 450.000 1.000 0.250 0.250 0.002619 8.877760 0.049710
650.000 500.000 1.000 0.250 0.250 0.002121 11.804100 0.028096
650.000 550.000 1.000 0.250 0.250 0.001675 16.024500 0.015245
