MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.025 0.025 0.047220 0.543758 12.582500
550.000 400.000 1.000 0.025 0.025 0.189900 0.103222 276.409000
700.000 400.000 1.000 0.025 0.025 0.440500 0.029659 2064.380000
700.000 450.000 1.000 0.025 0.025 0.533300 0.027210 2656.350000
700.000 500.000 1.000 0.025 0.025 0.388800 0.042446 1344.600000
700.000 550.000 1.000 0.025 0.025 0.180200 0.101192 299.955000
700.000 600.000 1.000 0.025 0.025 0.043960 0.533115 13.192900
750.000 400.000 1.000 0.025 0.025 0.439700 0.025127 2507.190000
750.000 450.000 1.000 0.025 0.025 0.588600 0.021206 3739.260000
750.000 500.000 1.000 0.025 0.025 0.508900 0.027523 2658.050000
750.000 550.000 1.000 0.025 0.025 0.323200 0.047558 1098.550000
750.000 600.000 1.000 0.025 0.025 0.141700 0.128147 195.281000
550.000 450.000 1.000 0.025 0.025 0.059190 0.408062 22.019800
750.000 650.000 1.000 0.025 0.025 0.036700 0.647945 9.016770
800.000 400.000 1.000 0.025 0.025 0.419700 0.023304 2595.150000
800.000 450.000 1.000 0.025 0.025 0.599700 0.017750 4544.030000
800.000 500.000 1.000 0.025 0.025 0.574200 0.020771 3884.240000
800.000 550.000 1.000 0.025 0.025 0.431600 0.031650 2106.380000
800.000 600.000 1.000 0.025 0.025 0.255400 0.060596 727.064000
800.000 650.000 1.000 0.025 0.025 0.109400 0.163197 124.353000
800.000 700.000 1.000 0.025 0.025 0.030200 0.774937 6.344170
600.000 400.000 1.000 0.025 0.025 0.325200 0.054234 836.290000
600.000 450.000 1.000 0.025 0.025 0.237500 0.081142 440.570000
600.000 500.000 1.000 0.025 0.025 0.058200 0.411816 21.757700
650.000 400.000 1.000 0.025 0.025 0.406900 0.036549 1545.430000
650.000 450.000 1.000 0.025 0.025 0.415900 0.040325 1444.910000
650.000 500.000 1.000 0.025 0.025 0.218900 0.085918 402.194000
650.000 550.000 1.000 0.025 0.025 0.051600 0.454121 18.039000
