MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.100 0.250 0.004196 6.341940 0.097903
550.000 400.000 1.000 0.100 0.250 0.004652 6.315350 0.098108
700.000 400.000 1.000 0.100 0.250 0.008406 2.154730 0.841838
700.000 450.000 1.000 0.100 0.250 0.008431 2.322440 0.723230
700.000 500.000 1.000 0.100 0.250 0.006624 3.325710 0.353113
700.000 550.000 1.000 0.100 0.250 0.004655 5.385850 0.134731
700.000 600.000 1.000 0.100 0.250 0.003379 8.480640 0.054365
750.000 400.000 1.000 0.100 0.250 0.009080 1.801040 1.203190
750.000 450.000 1.000 0.100 0.250 0.009643 1.772460 1.238820
750.000 500.000 1.000 0.100 0.250 0.008101 2.307630 0.732272
750.000 550.000 1.000 0.100 0.250 0.005910 3.556510 0.308908
750.000 600.000 1.000 0.100 0.250 0.004071 5.775170 0.117289
550.000 450.000 1.000 0.100 0.250 0.004226 7.016720 0.079585
750.000 650.000 1.000 0.100 0.250 0.002960 9.248540 0.045761
800.000 400.000 1.000 0.100 0.250 0.009340 1.522300 1.681080
800.000 450.000 1.000 0.100 0.250 0.010360 1.452300 1.840430
800.000 500.000 1.000 0.100 0.250 0.009232 1.800450 1.200350
800.000 550.000 1.000 0.100 0.250 0.007131 2.564640 0.593667
800.000 600.000 1.000 0.100 0.250 0.005039 4.087250 0.234379
800.000 650.000 1.000 0.100 0.250 0.003475 6.784460 0.085098
800.000 700.000 1.000 0.100 0.250 0.002548 10.727100 0.034076
600.000 400.000 1.000 0.100 0.250 0.005928 4.345590 0.207438
600.000 450.000 1.000 0.100 0.250 0.005194 5.360720 0.135964
600.000 500.000 1.000 0.100 0.250 0.004091 7.393470 0.071553
650.000 400.000 1.000 0.100 0.250 0.007330 2.929340 0.456333
650.000 450.000 1.000 0.100 0.250 0.006823 3.369750 0.344148
650.000 500.000 1.000 0.100 0.250 0.005102 5.014490 0.155399
650.000 550.000 1.000 0.100 0.250 0.003779 7.708140 0.065759
