MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.005 0.010 0.341200 0.052052 774.145000
550.000 400.000 1.000 0.005 0.010 2.515000 0.007000 19342.000000
700.000 400.000 1.000 0.005 0.010 5.767000 0.001980 92777.400000
700.000 450.000 1.000 0.005 0.010 7.113000 0.001789 124563.000000
700.000 500.000 1.000 0.005 0.010 5.173000 0.002819 75186.100000
700.000 550.000 1.000 0.005 0.010 2.246000 0.006947 21072.500000
700.000 600.000 1.000 0.005 0.010 0.274400 0.064610 604.949000
750.000 400.000 1.000 0.005 0.010 5.684000 0.001736 98144.600000
750.000 450.000 1.000 0.005 0.010 7.784000 0.001392 157092.000000
750.000 500.000 1.000 0.005 0.010 6.772000 0.001827 124652.000000
750.000 550.000 1.000 0.005 0.010 4.259000 0.003277 60595.400000
750.000 600.000 1.000 0.005 0.010 1.726000 0.008625 14959.200000
550.000 450.000 1.000 0.005 0.010 0.419800 0.040470 1237.390000
750.000 650.000 1.000 0.005 0.010 0.221200 0.081379 409.782000
800.000 400.000 1.000 0.005 0.010 5.348000 0.001583 95064.600000
800.000 450.000 1.000 0.005 0.010 7.855000 0.001217 170450.000000
800.000 500.000 1.000 0.005 0.010 7.595000 0.001400 159420.000000
800.000 550.000 1.000 0.005 0.010 5.722000 0.002102 101522.000000
800.000 600.000 1.000 0.005 0.010 3.338000 0.003979 44498.600000
800.000 650.000 1.000 0.005 0.010 1.299000 0.011135 9965.670000
800.000 700.000 1.000 0.005 0.010 0.176700 0.105320 259.909000
600.000 400.000 1.000 0.005 0.010 4.383000 0.003460 49923.500000
600.000 450.000 1.000 0.005 0.010 3.102000 0.005642 29088.000000
600.000 500.000 1.000 0.005 0.010 0.393100 0.044453 1109.590000
650.000 400.000 1.000 0.005 0.010 5.403000 0.002460 74819.500000
650.000 450.000 1.000 0.005 0.010 5.581000 0.002659 79970.600000
650.000 500.000 1.000 0.005 0.010 2.794000 0.005848 27750.800000
650.000 550.000 1.000 0.005 0.010 0.336200 0.052677 852.065000
