MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.100 0.100 0.006382 4.435050 0.198878
550.000 400.000 1.000 0.100 0.100 0.010740 2.357510 0.702484
700.000 400.000 1.000 0.100 0.100 0.023080 0.674686 8.276280
700.000 450.000 1.000 0.100 0.100 0.025990 0.643574 9.118030
700.000 500.000 1.000 0.100 0.100 0.019730 0.963337 4.133820
700.000 550.000 1.000 0.100 0.100 0.011620 1.860660 1.121230
700.000 600.000 1.000 0.100 0.100 0.006275 4.017540 0.241628
750.000 400.000 1.000 0.100 0.100 0.024160 0.576633 11.193100
750.000 450.000 1.000 0.100 0.100 0.029460 0.505123 14.567400
750.000 500.000 1.000 0.100 0.100 0.025130 0.667652 8.493010
750.000 550.000 1.000 0.100 0.100 0.017060 1.086860 3.257510
750.000 600.000 1.000 0.100 0.100 0.009771 2.104040 0.878263
550.000 450.000 1.000 0.100 0.100 0.007556 3.693650 0.285668
750.000 650.000 1.000 0.100 0.100 0.005434 4.567410 0.187210
800.000 400.000 1.000 0.100 0.100 0.024090 0.512691 13.939400
800.000 450.000 1.000 0.100 0.100 0.030940 0.426136 20.112400
800.000 500.000 1.000 0.100 0.100 0.028690 0.503307 14.682600
800.000 550.000 1.000 0.100 0.100 0.021760 0.754124 6.690440
800.000 600.000 1.000 0.100 0.100 0.014080 1.319190 2.220880
800.000 650.000 1.000 0.100 0.100 0.008062 2.580910 0.585214
800.000 700.000 1.000 0.100 0.100 0.004622 5.315670 0.138440
600.000 400.000 1.000 0.100 0.100 0.016200 1.277710 2.368850
600.000 450.000 1.000 0.100 0.100 0.013460 1.700940 1.341170
600.000 500.000 1.000 0.100 0.100 0.007631 3.461360 0.325140
650.000 400.000 1.000 0.100 0.100 0.020540 0.876064 4.978060
650.000 450.000 1.000 0.100 0.100 0.020440 0.958363 4.175990
650.000 500.000 1.000 0.100 0.100 0.013150 1.699450 1.342350
650.000 550.000 1.000 0.100 0.100 0.007093 3.620580 0.297373
