MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.010 0.050 0.066870 0.422352 20.604200
550.000 400.000 1.000 0.010 0.050 0.228000 0.089314 353.954000
700.000 400.000 1.000 0.010 0.050 0.543000 0.023815 2910.960000
700.000 450.000 1.000 0.010 0.050 0.645100 0.022472 3594.830000
700.000 500.000 1.000 0.010 0.050 0.472800 0.035244 1851.370000
700.000 550.000 1.000 0.010 0.050 0.226000 0.085155 412.338000
700.000 600.000 1.000 0.010 0.050 0.065380 0.378101 25.791100
750.000 400.000 1.000 0.010 0.050 0.547200 0.020618 3399.380000
750.000 450.000 1.000 0.010 0.050 0.714700 0.017223 5103.710000
750.000 500.000 1.000 0.010 0.050 0.617900 0.022526 3657.660000
750.000 550.000 1.000 0.010 0.050 0.396100 0.040935 1435.320000
750.000 600.000 1.000 0.010 0.050 0.180800 0.105122 281.801000
550.000 450.000 1.000 0.010 0.050 0.080860 0.333820 32.555500
750.000 650.000 1.000 0.010 0.050 0.055710 0.457043 17.870500
800.000 400.000 1.000 0.010 0.050 0.525100 0.018490 3685.900000
800.000 450.000 1.000 0.010 0.050 0.731800 0.014217 6322.090000
800.000 500.000 1.000 0.010 0.050 0.697900 0.017300 5149.400000
800.000 550.000 1.000 0.010 0.050 0.526600 0.025639 2957.190000
800.000 600.000 1.000 0.010 0.050 0.316500 0.049679 1025.110000
800.000 650.000 1.000 0.010 0.050 0.142000 0.130398 189.128000
800.000 700.000 1.000 0.010 0.050 0.046690 0.532246 13.263800
600.000 400.000 1.000 0.010 0.050 0.394200 0.045917 1100.540000
600.000 450.000 1.000 0.010 0.050 0.287400 0.068653 590.088000
600.000 500.000 1.000 0.010 0.050 0.081810 0.313869 36.815500
650.000 400.000 1.000 0.010 0.050 0.497700 0.030178 2095.620000
650.000 450.000 1.000 0.010 0.050 0.502000 0.033749 1940.620000
650.000 500.000 1.000 0.010 0.050 0.269100 0.072407 546.774000
650.000 550.000 1.000 0.010 0.050 0.074970 0.341969 31.289200
