MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.025 0.250 0.016390 1.644460 1.438940
550.000 400.000 1.000 0.025 0.250 0.018380 1.705750 1.333430
700.000 400.000 1.000 0.025 0.250 0.036500 0.500507 14.803300
700.000 450.000 1.000 0.025 0.250 0.036290 0.532154 13.213900
700.000 500.000 1.000 0.025 0.250 0.027730 0.798611 5.981910
700.000 550.000 1.000 0.025 0.250 0.018380 1.422990 1.909490
700.000 600.000 1.000 0.025 0.250 0.012610 2.522430 0.611050
750.000 400.000 1.000 0.025 0.250 0.039100 0.400234 22.646500
750.000 450.000 1.000 0.025 0.250 0.041560 0.405140 22.317800
750.000 500.000 1.000 0.025 0.250 0.034740 0.536976 12.997200
750.000 550.000 1.000 0.025 0.250 0.024550 0.873501 5.014430
750.000 600.000 1.000 0.025 0.250 0.016020 1.601650 1.509990
550.000 450.000 1.000 0.025 0.250 0.015970 1.910520 1.065790
750.000 650.000 1.000 0.025 0.250 0.011030 2.712020 0.529502
800.000 400.000 1.000 0.025 0.250 0.039900 0.338902 30.715900
800.000 450.000 1.000 0.025 0.250 0.044550 0.322590 34.229300
800.000 500.000 1.000 0.025 0.250 0.039750 0.401440 22.738500
800.000 550.000 1.000 0.025 0.250 0.030330 0.599880 10.472300
800.000 600.000 1.000 0.025 0.250 0.020820 1.001740 3.826850
800.000 650.000 1.000 0.025 0.250 0.013610 1.783920 1.219600
800.000 700.000 1.000 0.025 0.250 0.009494 3.022090 0.427060
600.000 400.000 1.000 0.025 0.250 0.024830 1.058740 3.431170
600.000 450.000 1.000 0.025 0.250 0.020560 1.481970 1.761530
600.000 500.000 1.000 0.025 0.250 0.015290 2.182840 0.815472
650.000 400.000 1.000 0.025 0.250 0.031540 0.684490 8.078700
650.000 450.000 1.000 0.025 0.250 0.028670 0.822697 5.640360
650.000 500.000 1.000 0.025 0.250 0.020200 1.343720 2.139370
650.000 550.000 1.000 0.025 0.250 0.014120 2.293450 0.738362
