MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.100 0.010 0.043710 0.586140 10.961100
550.000 400.000 1.000 0.100 0.010 0.117800 0.189030 94.731700
700.000 400.000 1.000 0.100 0.010 0.255800 0.058033 733.496000
700.000 450.000 1.000 0.100 0.010 0.310400 0.053455 917.686000
700.000 500.000 1.000 0.100 0.010 0.228900 0.082188 447.690000
700.000 550.000 1.000 0.100 0.010 0.115700 0.178936 108.053000
700.000 600.000 1.000 0.100 0.010 0.041650 0.545246 12.674500
750.000 400.000 1.000 0.100 0.010 0.259000 0.050686 880.901000
750.000 450.000 1.000 0.100 0.010 0.345000 0.042004 1331.600000
750.000 500.000 1.000 0.100 0.010 0.296300 0.054989 885.798000
750.000 550.000 1.000 0.100 0.010 0.191300 0.095631 340.814000
750.000 600.000 1.000 0.100 0.010 0.092330 0.221127 72.145700
550.000 450.000 1.000 0.100 0.010 0.057130 0.418911 21.202400
750.000 650.000 1.000 0.100 0.010 0.034540 0.686092 8.067550
800.000 400.000 1.000 0.100 0.010 0.248900 0.047672 917.650000
800.000 450.000 1.000 0.100 0.010 0.356400 0.036259 1614.450000
800.000 500.000 1.000 0.100 0.010 0.337200 0.042606 1317.200000
800.000 550.000 1.000 0.100 0.010 0.252200 0.062664 703.108000
800.000 600.000 1.000 0.100 0.010 0.152000 0.115948 237.157000
800.000 650.000 1.000 0.100 0.010 0.072190 0.275265 47.194300
800.000 700.000 1.000 0.100 0.010 0.028450 0.823109 5.636430
600.000 400.000 1.000 0.100 0.010 0.189500 0.104267 278.982000
600.000 450.000 1.000 0.100 0.010 0.149300 0.147343 155.155000
600.000 500.000 1.000 0.100 0.010 0.055840 0.439205 19.365300
650.000 400.000 1.000 0.100 0.010 0.235400 0.073559 507.143000
650.000 450.000 1.000 0.100 0.010 0.244200 0.077579 491.715000
650.000 500.000 1.000 0.100 0.010 0.138700 0.152531 145.646000
650.000 550.000 1.000 0.100 0.010 0.049230 0.467991 17.104200
