MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.050 0.100 0.011480 2.645550 0.557422
550.000 400.000 1.000 0.050 0.100 0.021390 1.205520 2.656570
700.000 400.000 1.000 0.050 0.100 0.049010 0.321751 34.160100
700.000 450.000 1.000 0.050 0.100 0.055150 0.312641 36.727400
700.000 500.000 1.000 0.050 0.100 0.041150 0.472569 16.682400
700.000 550.000 1.000 0.050 0.100 0.022860 0.993336 3.891080
700.000 600.000 1.000 0.050 0.100 0.011050 2.471260 0.636796
750.000 400.000 1.000 0.050 0.100 0.050760 0.277782 44.646200
750.000 450.000 1.000 0.050 0.100 0.062280 0.234898 62.478900
750.000 500.000 1.000 0.050 0.100 0.053130 0.320843 35.118500
750.000 550.000 1.000 0.050 0.100 0.035380 0.544163 12.682900
750.000 600.000 1.000 0.050 0.100 0.019060 1.176120 2.786120
550.000 450.000 1.000 0.050 0.100 0.013310 2.274460 0.751440
750.000 650.000 1.000 0.050 0.100 0.009563 2.846770 0.480583
800.000 400.000 1.000 0.050 0.100 0.050130 0.244717 55.333800
800.000 450.000 1.000 0.050 0.100 0.065090 0.198429 84.254500
800.000 500.000 1.000 0.050 0.100 0.060630 0.236889 61.710500
800.000 550.000 1.000 0.050 0.100 0.045770 0.360554 28.022600
800.000 600.000 1.000 0.050 0.100 0.028950 0.652683 8.883710
800.000 650.000 1.000 0.050 0.100 0.015610 1.430260 1.891330
800.000 700.000 1.000 0.050 0.100 0.008136 3.239920 0.371634
600.000 400.000 1.000 0.050 0.100 0.034080 0.633518 9.380200
600.000 450.000 1.000 0.050 0.100 0.026740 0.890408 4.827280
600.000 500.000 1.000 0.050 0.100 0.013370 2.162650 0.829993
650.000 400.000 1.000 0.050 0.100 0.043680 0.415485 21.144300
650.000 450.000 1.000 0.050 0.100 0.042920 0.462147 17.387500
650.000 500.000 1.000 0.050 0.100 0.026090 0.898914 4.739110
650.000 550.000 1.000 0.050 0.100 0.012440 2.291420 0.739843
