MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.005 0.025 0.182600 0.124554 190.020000
550.000 400.000 1.000 0.005 0.025 0.965800 0.019657 4281.150000
700.000 400.000 1.000 0.005 0.025 2.262000 0.005314 25243.400000
700.000 450.000 1.000 0.005 0.025 2.748000 0.004879 33519.300000
700.000 500.000 1.000 0.005 0.025 2.002000 0.007580 19183.500000
700.000 550.000 1.000 0.005 0.025 0.901100 0.018719 4971.430000
700.000 600.000 1.000 0.005 0.025 0.168800 0.131496 185.428000
750.000 400.000 1.000 0.005 0.025 2.243000 0.004589 27804.600000
750.000 450.000 1.000 0.005 0.025 3.023000 0.003841 42608.900000
750.000 500.000 1.000 0.005 0.025 2.620000 0.004864 33836.100000
750.000 550.000 1.000 0.005 0.025 1.661000 0.008816 15308.100000
750.000 600.000 1.000 0.005 0.025 0.704000 0.022861 3545.360000
550.000 450.000 1.000 0.005 0.025 0.225200 0.096081 314.039000
750.000 650.000 1.000 0.005 0.025 0.140200 0.157467 133.672000
800.000 400.000 1.000 0.005 0.025 2.127000 0.004154 28044.800000
800.000 450.000 1.000 0.005 0.025 3.063000 0.003178 49353.800000
800.000 500.000 1.000 0.005 0.025 2.949000 0.003742 44681.400000
800.000 550.000 1.000 0.005 0.025 2.223000 0.005657 27375.000000
800.000 600.000 1.000 0.005 0.025 1.310000 0.010723 11251.300000
800.000 650.000 1.000 0.005 0.025 0.537100 0.030247 2264.060000
800.000 700.000 1.000 0.005 0.025 0.115400 0.191563 93.078500
600.000 400.000 1.000 0.005 0.025 1.684000 0.009640 12132.400000
600.000 450.000 1.000 0.005 0.025 1.204000 0.015125 6938.260000
600.000 500.000 1.000 0.005 0.025 0.221500 0.096355 316.842000
650.000 400.000 1.000 0.005 0.025 2.099000 0.006657 19670.100000
650.000 450.000 1.000 0.005 0.025 2.151000 0.007267 19757.200000
650.000 500.000 1.000 0.005 0.025 1.103000 0.015858 6538.890000
650.000 550.000 1.000 0.005 0.025 0.197700 0.112644 246.268000
