MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.010 0.005 0.344000 0.052128 787.173000
550.000 400.000 1.000 0.010 0.005 2.537000 0.007038 19445.000000
700.000 400.000 1.000 0.010 0.005 5.765000 0.002003 91280.100000
700.000 450.000 1.000 0.010 0.005 7.141000 0.001797 125508.000000
700.000 500.000 1.000 0.010 0.005 5.184000 0.002773 77163.700000
700.000 550.000 1.000 0.010 0.005 2.245000 0.007038 21044.300000
700.000 600.000 1.000 0.010 0.005 0.264700 0.065754 592.993000
750.000 400.000 1.000 0.010 0.005 5.686000 0.001713 99692.200000
750.000 450.000 1.000 0.010 0.005 7.819000 0.001408 156351.000000
750.000 500.000 1.000 0.010 0.005 6.788000 0.001827 124773.000000
750.000 550.000 1.000 0.010 0.005 4.263000 0.003292 60858.500000
750.000 600.000 1.000 0.010 0.005 1.713000 0.008633 15015.400000
550.000 450.000 1.000 0.010 0.005 0.423900 0.039913 1285.010000
750.000 650.000 1.000 0.010 0.005 0.209400 0.084911 382.527000
800.000 400.000 1.000 0.010 0.005 5.351000 0.001606 94393.100000
800.000 450.000 1.000 0.010 0.005 7.880000 0.001202 172729.000000
800.000 500.000 1.000 0.010 0.005 7.619000 0.001400 160245.000000
800.000 550.000 1.000 0.010 0.005 5.728000 0.002117 100614.000000
800.000 600.000 1.000 0.010 0.005 3.329000 0.003986 44302.200000
800.000 650.000 1.000 0.010 0.005 1.286000 0.011211 9867.360000
800.000 700.000 1.000 0.010 0.005 0.164800 0.106785 251.541000
600.000 400.000 1.000 0.010 0.005 4.399000 0.003460 49853.600000
600.000 450.000 1.000 0.010 0.005 3.121000 0.005650 29274.900000
600.000 500.000 1.000 0.010 0.005 0.391900 0.044560 1119.540000
650.000 400.000 1.000 0.010 0.005 5.422000 0.002552 73411.400000
650.000 450.000 1.000 0.010 0.005 5.610000 0.002750 76550.600000
650.000 500.000 1.000 0.010 0.005 2.797000 0.005924 27303.000000
650.000 550.000 1.000 0.010 0.005 0.328000 0.051930 871.004000
