LID	AZHtt_NLL
659	0
660	0.0126556
661	0
662	33.0949
663	0
664	93.1026
665	0
666	0
667	0
668	0.812467
669	0
670	0
671	101.223
672	0
673	0
674	0
675	0
676	0
677	119.689
678	30.0823
679	0
680	98.814
681	0
682	0
683	0
684	7.28214
685	0
686	109.054
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	124.127
700	0
701	0
702	39.5182
703	0
704	0
705	141.613
706	0
707	0
708	0
709	0
710	27.9429
711	0
712	0
713	0
714	24.3413
715	273.434
716	15.9522
717	0
718	0
719	0.00500792
720	0
721	0
722	0
723	0
724	515.547
725	23.1001
726	130.445
727	0
728	0
729	0
730	0
731	1.41733
732	0
733	0
734	145.472
735	5.73018
736	0
737	0
738	0
739	0
740	0
741	0
742	22.3617
743	25.7368
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	80.0145
752	8.36903e-09
753	0
754	39.8997
755	0
756	0
757	67.7858
758	0.0597805
759	0
760	10.7883
761	0
762	0
763	1.40647e-08
764	0
765	25.6225
766	0
767	0.0676147
768	62.4756
769	215.927
770	0
771	0
772	0
773	109.643
774	0
775	0
776	0
777	0
778	0
779	125.304
780	0
781	0
782	0
783	0
784	0
785	81.4426
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	142.389
795	0
796	0
797	0.187285
798	0
799	0
800	0
801	0
802	8.02148
803	0
804	0
805	0
806	107.101
807	0
808	0
809	0
810	731.958
811	0
812	0
813	47.0447
814	0
815	0
816	0
817	0
818	0
819	0
820	0.276139
821	0
822	0
823	432.159
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	230.731
835	0
836	0
837	7.79558
838	0
839	0.901058
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	16.3544
851	0
852	148.749
853	0
854	0
855	0
856	16.0758
857	29.0715
858	0
859	0
860	0
861	0
862	5.70985e-09
863	0
864	0
865	0
866	0
867	102.719
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	57.0096
876	70.2285
877	116.83
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	112.453
887	0
888	29.6023
889	0
890	0
891	0
892	0
893	0
894	4.60052
895	0
896	0
897	34.2194
898	475.081
899	0
900	111.697
901	208.336
902	185.941
903	4.29045e-05
904	0
905	0
906	8.99039e-07
907	0
908	0
909	1.46073
910	0
911	0
912	0
913	166.598
914	0.0561815
915	0
916	0
917	0
918	0
919	0.175286
920	0
921	0
922	24.5236
923	0
924	0
925	0
926	23.9285
927	0
928	4.48299
929	0
930	0
931	28.3148
932	1.27076e-08
933	0
934	0
935	0
936	0
937	534.262
938	142.317
939	13.0038
940	74.3719
941	16.7722
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	16.496
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	291.703
965	120.093
966	63.7782
967	0
968	0
969	0
970	0
971	0
972	56.1875
973	0
974	0
975	0
976	0
977	0
978	215.389
979	0
980	0
981	9.90799e-05
982	0
983	0
984	95.5373
985	0
986	0
987	0
988	10.4264
989	0
990	199.899
991	0
992	0
993	9.64303
994	0
995	0
996	0
997	0
998	0
999	117.747
1000	6.83648
1001	0
1002	41.7566
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	2.73458
1015	22.8363
1016	0
1017	0
1018	0
1019	316.503
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	0
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	0
1045	47.863
1046	53.5978
1047	39.083
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	0
1055	0
1056	0
1057	0
1058	0
1059	47.4463
1060	0
1061	0
1062	0
1063	0
1064	0
1065	98.8977
1066	0
1067	37.752
1068	0
1069	0
1070	144.448
1071	253.844
1072	0
1073	0
1074	0
1075	0
1076	24.5678
1077	0
1078	0
1079	0
1080	0
1081	0
1082	0
1083	5.42262
1084	0
1085	39.841
1086	0
1087	0
1088	0
1089	0
1090	12.5613
1091	0
1092	0
1093	63.9253
1094	0
1095	0
1096	0
1097	369.344
1098	0
1099	26.7004
1100	0
1101	0
1102	210.837
1103	0
1104	0
1105	0.000340637
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	1.31295
1114	0
1115	0
1116	0
1117	0
1118	0
1119	259.804
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	244.776
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	43.9444
1139	0
1140	0.122938
1141	0
1142	0
1143	0
1144	0
1145	0
1146	314.541
1147	0
1148	78.5536
1149	0
1150	0
1151	0
1152	0
1153	6.16766e-05
1154	0
1155	0
1156	18.8224
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	11.4577
1166	0
1167	15.9162
1168	0
1169	0
1170	0
1171	1.89802e-05
1172	0
1173	0
1174	0
1175	0
1176	51.5468
1177	49.9588
1178	87.9718
1179	0
1180	0
1181	0
1182	16.0935
1183	9.04514
1184	0
1185	36.5818
1186	66.8022
1187	50.8834
1188	16.5496
1189	18.462
1190	0
1191	0
1192	261.234
1193	257.097
1194	6.26333
1195	0
1196	0
1197	0
1198	86.9195
1199	1.67866
1200	0
1201	0
1202	0
1203	0
1204	0
1205	7.86964e-08
1206	192.135
1207	0
1208	0
1209	0
1210	0
1211	5.15858
1212	130.894
1213	0
1214	0
1215	41.8781
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	271.386
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	23.522
1233	0
1234	0
1235	0
1236	219.193
1237	0
1238	0
1239	76.7199
1240	27.7837
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	6.15211e-08
1248	0
1249	0
1250	0
1251	106.905
1252	0
1253	0
1254	0
1255	0
1256	0
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	0
1265	0.000111986
1266	0
1267	291.27
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	165.673
1279	0
1280	0
1281	0
1282	120.871
1283	0
1284	176.737
1285	0
1286	0
1287	21.3821
1288	0.0256711
1289	0
1290	0
1291	0
1292	0
1293	38.3604
1294	0
1295	0
1296	0
1297	180.878
1298	225.681
1299	0
1300	21.985
1301	0
1302	0
1303	0.180274
1304	0
1305	0
1306	0
1307	0
1308	0
1309	33.9308
1310	38.8613
1311	14.2673
1312	0
1313	0
1314	0
1315	14.806
1316	0
1317	0
1318	0
1319	0
1320	0
1321	273.987
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	28.8399
1329	77.0013
1330	8.92235
1331	0
1332	0
1333	0
1334	3.8539
1335	0
1336	0
1337	0
1338	0
1339	34.8489
1340	31.2659
1341	0
1342	8.38426
1343	0
1344	0
1345	79.7381
1346	0
1347	0
1348	0
1349	46.1887
1350	0
1351	0.977882
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	31.9338
1362	6.46585
1363	0
1364	0
1365	22.446
1366	56.0081
1367	0
1368	0
1369	0
1370	0
1371	19.3121
1372	0
1373	0
1374	0
1375	0
1376	260.947
1377	11.2967
1378	0
1379	0
1380	6.59543
1381	0
1382	37.341
1383	0
1384	0
1385	0
1386	0
1387	0
1388	16.7629
1389	1.16082
1390	0
1391	0
1392	50.5042
1393	0
1394	34.9729
1395	0
1396	0
1397	0
1398	16.3783
