LID	AZHtt_NLL
659	0
660	0.0127508
661	0
662	33.4373
663	0
664	96.2894
665	0
666	0
667	0
668	0.816179
669	0
670	0
671	103.264
672	0
673	0
674	0
675	0
676	0
677	141.976
678	33.6858
679	0
680	100.552
681	0
682	0
683	0
684	7.84438
685	0
686	114.567
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	128.704
700	0
701	0
702	44.859
703	0
704	0
705	145.198
706	0
707	0
708	0
709	0
710	29.342
711	0
712	0
713	0
714	27.6887
715	287.881
716	17.9059
717	0
718	0
719	0.00530248
720	0
721	0
722	0
723	0
724	531.934
725	27.3327
726	135.682
727	0
728	0
729	0
730	0
731	1.56322
732	0
733	0
734	150.115
735	6.21999
736	0
737	0
738	0
739	0
740	0
741	0
742	28.2457
743	26.2056
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	82.494
752	8.81765e-09
753	0
754	45.3807
755	0
756	0
757	69.3984
758	0.0602573
759	0
760	11.7636
761	0
762	0
763	1.45541e-08
764	0
765	28.7194
766	0
767	0.0683235
768	71.2908
769	228.116
770	0
771	0
772	0
773	111.416
774	0
775	0
776	0
777	0
778	0
779	129.918
780	0
781	0
782	0
783	0
784	0
785	87.6066
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	158.635
795	0
796	0
797	0.199161
798	0
799	0
800	0
801	0
802	12.8156
803	0
804	0
805	0
806	119.771
807	0
808	0
809	0
810	762.968
811	0
812	0
813	53.0777
814	0
815	0
816	0
817	0
818	0
819	0
820	0.294146
821	0
822	0
823	445.258
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	245.361
835	0
836	0
837	8.62792
838	0
839	0.986306
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	19.0919
851	0
852	165.647
853	0
854	0
855	0
856	20.8564
857	34.8246
858	0
859	0
860	0
861	0
862	5.85056e-09
863	0
864	0
865	0
866	0
867	104.325
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	74.239
876	71.2477
877	130.463
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	116.57
887	0
888	29.9699
889	0
890	0
891	0
892	0
893	0
894	4.71194
895	0
896	0
897	38.7017
898	486.477
899	0
900	114.736
901	218.515
902	200.389
903	4.55706e-05
904	0
905	0
906	9.13095e-07
907	0
908	0
909	1.64617
910	0
911	0
912	0
913	173.214
914	0.057223
915	0
916	0
917	0
918	0
919	0.177922
920	0
921	0
922	27.9205
923	0
924	0
925	0
926	29.9295
927	0
928	5.07014
929	0
930	0
931	35.6093
932	1.25715e-08
933	0
934	0
935	0
936	0
937	552.091
938	149.986
939	15.7653
940	75.9957
941	19.0555
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	18.9465
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	320.274
965	123.844
966	70.5909
967	0
968	0
969	0
970	0
971	0
972	66.1405
973	0
974	0
975	0
976	0
977	0
978	225.149
979	0
980	0
981	9.95366e-05
982	0
983	0
984	97.3955
985	0
986	0
987	0
988	11.4316
989	0
990	207.303
991	0
992	0
993	11.8591
994	0
995	0
996	0
997	0
998	0
999	125.45
1000	8.33176
1001	0
1002	46.8855
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	3.01189
1015	37.4643
1016	0
1017	0
1018	0
1019	332.229
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	0
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	0
1045	53.5392
1046	54.5153
1047	45.3963
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	0
1055	0
1056	0
1057	0
1058	0
1059	48.1511
1060	0
1061	0
1062	0
1063	0
1064	0
1065	102.651
1066	0
1067	42.3819
1068	0
1069	0
1070	154.37
1071	268.437
1072	0
1073	0
1074	0
1075	0
1076	27.6697
1077	0
1078	0
1079	0
1080	0
1081	0
1082	0
1083	5.54954
1084	0
1085	44.583
1086	0
1087	0
1088	0
1089	0
1090	14.0484
1091	0
1092	0
1093	72.6853
1094	0
1095	0
1096	0
1097	385.89
1098	0
1099	27.5939
1100	0
1101	0
1102	237.992
1103	0
1104	0
1105	0.000360066
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	1.39509
1114	0
1115	0
1116	0
1117	0
1118	0
1119	280.745
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	269.241
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	50.4245
1139	0
1140	0.124177
1141	0
1142	0
1143	0
1144	0
1145	0
1146	337.653
1147	0
1148	87.3535
1149	0
1150	0
1151	0
1152	0
1153	6.03829e-05
1154	0
1155	0
1156	20.6266
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	11.699
1166	0
1167	16.3584
1168	0
1169	0
1170	0
1171	1.99485e-05
1172	0
1173	0
1174	0
1175	0
1176	54.6179
1177	51.0312
1178	90.8861
1179	0
1180	0
1181	0
1182	16.5487
1183	9.33884
1184	0
1185	41.003
1186	68.7467
1187	56.7097
1188	16.6981
1189	21.3616
1190	0
1191	0
1192	287.388
1193	273.794
1194	6.83261
1195	0
1196	0
1197	0
1198	94.296
1199	1.84479
1200	0
1201	0
1202	0
1203	0
1204	0
1205	8.01321e-08
1206	205.945
1207	0
1208	0
1209	0
1210	0
1211	5.2693
1212	133.543
1213	0
1214	0
1215	42.4364
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	277.867
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	37.6843
1233	0
1234	0
1235	0
1236	226.724
1237	0
