MHA MHH tb WRA WRH CS MU NLL
650.000 550.000 1.000 0.250 0.010 0.031950 0.721569 7.313190
650.000 500.000 1.000 0.250 0.010 0.059370 0.365704 27.652300
600.000 400.000 1.000 0.250 0.010 0.066490 0.325848 34.118600
550.000 450.000 1.000 0.250 0.010 0.035260 0.691746 7.947610
550.000 400.000 1.000 0.250 0.010 0.046650 0.497990 15.061300
500.000 400.000 1.000 0.250 0.010 0.026090 0.952160 4.229900
650.000 450.000 1.000 0.250 0.010 0.087840 0.237286 63.337400
650.000 400.000 1.000 0.250 0.010 0.080630 0.240192 60.403900
600.000 500.000 1.000 0.250 0.010 0.035280 0.642437 9.196690
600.000 450.000 1.000 0.250 0.010 0.061490 0.357929 28.797100
700.000 550.000 1.000 0.250 0.010 0.051500 0.416538 21.436000
700.000 500.000 1.000 0.250 0.010 0.084470 0.231564 66.363700
700.000 450.000 1.000 0.250 0.010 0.108000 0.173634 113.195000
700.000 400.000 1.000 0.250 0.010 0.088450 0.190067 92.202700
750.000 500.000 1.000 0.250 0.010 0.104900 0.172245 115.225000
750.000 450.000 1.000 0.250 0.010 0.120600 0.137043 172.439000
750.000 400.000 1.000 0.250 0.010 0.091110 0.165684 116.878000
700.000 600.000 1.000 0.250 0.010 0.027700 0.831875 5.523100
750.000 600.000 1.000 0.250 0.010 0.042750 0.513103 14.253800
750.000 550.000 1.000 0.250 0.010 0.072540 0.275692 47.470500
800.000 450.000 1.000 0.250 0.010 0.126300 0.120327 213.482000
800.000 500.000 1.000 0.250 0.010 0.118700 0.142170 162.091000
750.000 650.000 1.000 0.250 0.010 0.023600 0.995182 3.876790
800.000 400.000 1.000 0.250 0.010 0.090330 0.164753 115.640000
800.000 650.000 1.000 0.250 0.010 0.034740 0.615505 9.962800
800.000 700.000 1.000 0.250 0.010 0.019870 1.257080 2.443400
800.000 550.000 1.000 0.250 0.010 0.090620 0.200436 86.226100
800.000 600.000 1.000 0.250 0.010 0.059380 0.343174 31.009100
