MHA MHH tb WRA WRH CS MU NLL
700.000 450.000 1.000 0.250 0.100 0.009252 2.004010 0.969174
700.000 400.000 1.000 0.250 0.100 0.008132 2.099410 0.887337
700.000 550.000 1.000 0.250 0.100 0.005023 4.330230 0.208390
700.000 500.000 1.000 0.250 0.100 0.007444 2.649780 0.555308
750.000 400.000 1.000 0.250 0.100 0.008587 1.911980 1.069280
700.000 600.000 1.000 0.250 0.100 0.003252 7.220050 0.075056
750.000 500.000 1.000 0.250 0.100 0.009066 2.016030 0.957525
750.000 450.000 1.000 0.250 0.100 0.010410 1.643150 1.439780
750.000 600.000 1.000 0.250 0.100 0.004326 5.010100 0.155951
750.000 550.000 1.000 0.250 0.100 0.006576 2.922540 0.456997
800.000 550.000 1.000 0.250 0.100 0.007975 2.197040 0.807741
800.000 600.000 1.000 0.250 0.100 0.005534 3.490320 0.321231
800.000 650.000 1.000 0.250 0.100 0.003624 6.050050 0.107147
800.000 700.000 1.000 0.250 0.100 0.002430 10.062000 0.038787
750.000 650.000 1.000 0.250 0.100 0.002832 8.440140 0.054999
800.000 400.000 1.000 0.250 0.100 0.008698 1.745360 1.284600
800.000 450.000 1.000 0.250 0.100 0.011060 1.409140 1.953470
800.000 500.000 1.000 0.250 0.100 0.010250 1.626220 1.468960
600.000 500.000 1.000 0.250 0.100 0.003899 6.318520 0.097903
600.000 450.000 1.000 0.250 0.100 0.005604 4.052810 0.237927
650.000 450.000 1.000 0.250 0.100 0.007580 2.753960 0.514278
650.000 400.000 1.000 0.250 0.100 0.007247 2.750290 0.517662
550.000 400.000 1.000 0.250 0.100 0.004451 5.478810 0.130587
500.000 400.000 1.000 0.250 0.100 0.003083 8.542320 0.053720
600.000 400.000 1.000 0.250 0.100 0.005952 3.707970 0.284985
550.000 450.000 1.000 0.250 0.100 0.003848 6.702050 0.087004
650.000 550.000 1.000 0.250 0.100 0.003656 6.650800 0.088389
650.000 500.000 1.000 0.250 0.100 0.005601 3.975750 0.247007
