MHA MHH tb WRA WRH CS MU NLL
650.000 550.000 1.000 0.050 0.025 0.032360 0.730824 7.126620
650.000 500.000 1.000 0.050 0.025 0.109100 0.183681 101.952000
550.000 400.000 1.000 0.050 0.025 0.093400 0.230511 64.788600
500.000 400.000 1.000 0.050 0.025 0.029070 0.933109 4.400580
600.000 400.000 1.000 0.050 0.025 0.156700 0.118618 217.348000
550.000 450.000 1.000 0.050 0.025 0.036980 0.682354 8.146000
600.000 500.000 1.000 0.050 0.025 0.036340 0.708103 7.582060
600.000 450.000 1.000 0.050 0.025 0.117600 0.173695 112.197000
650.000 450.000 1.000 0.050 0.025 0.200600 0.091412 359.747000
650.000 400.000 1.000 0.050 0.025 0.196000 0.083103 400.118000
750.000 650.000 1.000 0.050 0.025 0.022980 1.052460 3.471030
800.000 400.000 1.000 0.050 0.025 0.205400 0.051800 782.701000
800.000 450.000 1.000 0.050 0.025 0.292200 0.039829 1345.140000
800.000 500.000 1.000 0.050 0.025 0.278100 0.047688 1056.660000
800.000 550.000 1.000 0.050 0.025 0.208400 0.070156 564.805000
800.000 600.000 1.000 0.050 0.025 0.124500 0.133671 180.716000
800.000 650.000 1.000 0.050 0.025 0.055970 0.339664 31.461900
800.000 700.000 1.000 0.050 0.025 0.018950 1.278330 2.363210
750.000 600.000 1.000 0.050 0.025 0.072000 0.274151 47.626200
750.000 550.000 1.000 0.050 0.025 0.156900 0.110447 257.515000
750.000 400.000 1.000 0.050 0.025 0.214300 0.055439 736.946000
700.000 600.000 1.000 0.050 0.025 0.027600 0.866718 5.093190
750.000 500.000 1.000 0.050 0.025 0.245300 0.062565 694.056000
750.000 450.000 1.000 0.050 0.025 0.285100 0.047794 1046.060000
700.000 450.000 1.000 0.050 0.025 0.256700 0.059567 741.043000
700.000 400.000 1.000 0.050 0.025 0.213000 0.064220 597.065000
700.000 550.000 1.000 0.050 0.025 0.090640 0.215984 75.021800
700.000 500.000 1.000 0.050 0.025 0.187800 0.093761 345.341000
