MHA MHH tb WRA WRH CS MU NLL
800.000 450.000 1.000 0.010 0.005 7.883000 0.001209 171725.000000
800.000 500.000 1.000 0.010 0.005 7.624000 0.001392 161496.000000
750.000 650.000 1.000 0.010 0.005 0.209400 0.080975 409.840000
800.000 400.000 1.000 0.010 0.005 5.349000 0.001575 96730.200000
800.000 650.000 1.000 0.010 0.005 1.286000 0.011181 9935.020000
800.000 700.000 1.000 0.010 0.005 0.164900 0.107029 252.048000
800.000 550.000 1.000 0.010 0.005 5.734000 0.002140 100199.000000
800.000 600.000 1.000 0.010 0.005 3.334000 0.004070 43420.900000
750.000 600.000 1.000 0.010 0.005 1.718000 0.008511 15229.300000
750.000 550.000 1.000 0.010 0.005 4.259000 0.003338 59332.900000
700.000 550.000 1.000 0.010 0.005 2.246000 0.007030 21009.300000
700.000 500.000 1.000 0.010 0.005 5.178000 0.002781 76615.400000
700.000 450.000 1.000 0.010 0.005 7.141000 0.001789 126718.000000
700.000 400.000 1.000 0.010 0.005 5.768000 0.002003 91697.800000
750.000 500.000 1.000 0.010 0.005 6.796000 0.001858 123154.000000
750.000 450.000 1.000 0.010 0.005 7.812000 0.001438 154583.000000
750.000 400.000 1.000 0.010 0.005 5.677000 0.001682 100328.000000
700.000 600.000 1.000 0.010 0.005 0.264500 0.064404 607.492000
600.000 400.000 1.000 0.010 0.005 4.391000 0.003521 49177.900000
550.000 450.000 1.000 0.010 0.005 0.423700 0.040638 1262.690000
550.000 400.000 1.000 0.010 0.005 2.534000 0.007076 19397.000000
500.000 400.000 1.000 0.010 0.005 0.343900 0.051487 799.764000
650.000 450.000 1.000 0.010 0.005 5.598000 0.002674 78690.400000
650.000 400.000 1.000 0.010 0.005 5.418000 0.002407 76428.500000
600.000 500.000 1.000 0.010 0.005 0.392600 0.043652 1154.490000
600.000 450.000 1.000 0.010 0.005 3.122000 0.005604 29683.200000
650.000 550.000 1.000 0.010 0.005 0.328200 0.052097 869.530000
650.000 500.000 1.000 0.010 0.005 2.799000 0.005772 28381.200000
