MHA MHH tb WRA WRH CS MU NLL
750.000 600.000 1.000 0.005 0.010 1.727000 0.008633 14816.900000
750.000 550.000 1.000 0.005 0.010 4.264000 0.003284 60165.600000
750.000 500.000 1.000 0.005 0.010 6.780000 0.001789 127550.000000
750.000 450.000 1.000 0.005 0.010 7.792000 0.001408 157667.000000
750.000 400.000 1.000 0.005 0.010 5.689000 0.001682 100715.000000
700.000 600.000 1.000 0.005 0.010 0.274900 0.064968 600.934000
700.000 550.000 1.000 0.005 0.010 2.249000 0.006847 21788.900000
700.000 500.000 1.000 0.005 0.010 5.169000 0.002758 77322.600000
700.000 450.000 1.000 0.005 0.010 7.113000 0.001774 125859.000000
700.000 400.000 1.000 0.005 0.010 5.765000 0.001911 94881.900000
800.000 650.000 1.000 0.005 0.010 1.299000 0.011150 9966.640000
800.000 700.000 1.000 0.005 0.010 0.176600 0.107754 251.107000
800.000 550.000 1.000 0.005 0.010 5.728000 0.002018 105993.000000
800.000 600.000 1.000 0.005 0.010 3.336000 0.003948 44785.800000
800.000 450.000 1.000 0.005 0.010 7.860000 0.001186 173502.000000
800.000 500.000 1.000 0.005 0.010 7.604000 0.001377 162944.000000
750.000 650.000 1.000 0.005 0.010 0.220800 0.082134 402.786000
800.000 400.000 1.000 0.005 0.010 5.357000 0.001568 97439.400000
650.000 550.000 1.000 0.005 0.010 0.336300 0.051426 878.442000
650.000 500.000 1.000 0.005 0.010 2.793000 0.005672 28645.600000
650.000 450.000 1.000 0.005 0.010 5.584000 0.002644 79208.100000
650.000 400.000 1.000 0.005 0.010 5.409000 0.002453 75977.800000
600.000 500.000 1.000 0.005 0.010 0.394300 0.044048 1129.860000
600.000 450.000 1.000 0.005 0.010 3.101000 0.005627 29250.300000
600.000 400.000 1.000 0.005 0.010 4.380000 0.003475 49345.000000
550.000 450.000 1.000 0.005 0.010 0.419300 0.040302 1251.660000
550.000 400.000 1.000 0.005 0.010 2.514000 0.007175 18821.400000
500.000 400.000 1.000 0.005 0.010 0.341900 0.053379 742.237000
