MHA MHH tb WRA WRH CS MU NLL
800.000 650.000 1.000 0.025 0.005 0.521500 0.031078 2148.830000
800.000 700.000 1.000 0.025 0.005 0.097430 0.205997 80.039800
800.000 550.000 1.000 0.025 0.005 2.241000 0.005733 26866.100000
800.000 600.000 1.000 0.025 0.005 1.307000 0.011387 10443.000000
800.000 450.000 1.000 0.025 0.005 3.101000 0.003361 47631.100000
800.000 500.000 1.000 0.025 0.005 2.987000 0.003788 44679.200000
750.000 650.000 1.000 0.025 0.005 0.122000 0.165318 121.385000
800.000 400.000 1.000 0.025 0.005 2.115000 0.004353 27006.000000
650.000 550.000 1.000 0.025 0.005 0.185400 0.106602 270.719000
650.000 500.000 1.000 0.025 0.005 1.112000 0.016010 6573.980000
650.000 450.000 1.000 0.025 0.005 2.188000 0.007442 19882.800000
650.000 400.000 1.000 0.025 0.005 2.117000 0.006855 19376.900000
600.000 500.000 1.000 0.025 0.005 0.217800 0.091145 356.249000
600.000 450.000 1.000 0.025 0.005 1.235000 0.015003 7171.030000
600.000 400.000 1.000 0.025 0.005 1.714000 0.009640 12349.200000
550.000 450.000 1.000 0.025 0.005 0.231200 0.090069 358.308000
550.000 400.000 1.000 0.025 0.005 0.998300 0.019489 4440.860000
500.000 400.000 1.000 0.025 0.005 0.183100 0.114651 222.293000
750.000 600.000 1.000 0.025 0.005 0.691100 0.024036 3325.130000
750.000 550.000 1.000 0.025 0.005 1.670000 0.009228 14709.300000
750.000 500.000 1.000 0.025 0.005 2.656000 0.005062 33001.000000
750.000 450.000 1.000 0.025 0.005 3.059000 0.003880 43609.100000
750.000 400.000 1.000 0.025 0.005 2.238000 0.004620 27890.200000
700.000 600.000 1.000 0.025 0.005 0.151300 0.133259 180.477000
700.000 550.000 1.000 0.025 0.005 0.897800 0.018688 5028.190000
700.000 500.000 1.000 0.025 0.005 2.026000 0.007748 19223.600000
700.000 450.000 1.000 0.025 0.005 2.790000 0.004887 33650.700000
700.000 400.000 1.000 0.025 0.005 2.262000 0.005405 24798.900000
