MHA MHH tb WR CS MU NLL
800.000 550.000 1.000 0.250 0.002677 7.497580 0.069887
800.000 600.000 1.000 0.250 0.001997 10.596100 0.035002
800.000 650.000 1.000 0.250 0.001476 16.373800 0.014652
800.000 700.000 1.000 0.250 0.001146 23.662000 0.007021
750.000 650.000 1.000 0.250 0.001322 20.193900 0.009627
800.000 400.000 1.000 0.250 0.003391 4.854390 0.167638
800.000 450.000 1.000 0.250 0.003744 4.568420 0.188633
800.000 500.000 1.000 0.250 0.003364 5.303400 0.139877
600.000 500.000 1.000 0.250 0.001798 14.935400 0.017556
600.000 450.000 1.000 0.250 0.002147 12.400100 0.025459
650.000 450.000 1.000 0.250 0.002621 8.759590 0.051069
650.000 400.000 1.000 0.250 0.002684 8.477310 0.054677
550.000 400.000 1.000 0.250 0.001909 14.789700 0.017924
500.000 400.000 1.000 0.250 0.001716 16.260700 0.014895
600.000 400.000 1.000 0.250 0.002275 11.154300 0.031525
550.000 450.000 1.000 0.250 0.001832 15.220600 0.016955
650.000 550.000 1.000 0.250 0.001676 16.083200 0.015140
650.000 500.000 1.000 0.250 0.002120 11.678000 0.028708
750.000 400.000 1.000 0.250 0.003259 5.632890 0.124317
700.000 600.000 1.000 0.250 0.001507 17.544600 0.012732
750.000 500.000 1.000 0.250 0.003002 6.637100 0.089084
750.000 450.000 1.000 0.250 0.003482 5.399450 0.134790
700.000 450.000 1.000 0.250 0.003099 6.714310 0.087023
700.000 400.000 1.000 0.250 0.003024 6.648620 0.089065
700.000 550.000 1.000 0.250 0.001947 12.498200 0.025078
700.000 500.000 1.000 0.250 0.002564 8.605270 0.052936
750.000 600.000 1.000 0.250 0.001714 13.971400 0.020095
750.000 550.000 1.000 0.250 0.002311 9.273360 0.045630
